feature,lag_epochs,autocorr_residual
p95_us,1,0.2953111634460357
p95_us,2,0.14207542514918953
p95_us,3,-0.2677540209679939
p95_us,4,-0.4477993776933588
p95_us,5,-0.47335857681218013
p95_us,6,-0.44046915292244687
p95_us,7,-0.19567320502794625
p95_us,8,-0.03952334201696969
p95_us,9,0.16435120629531325
p95_us,10,0.1752864440581036
p95_us,11,0.4692212060178806
p95_us,12,0.3560212291872235
p95_us,13,0.4586547527376387
p95_us,14,0.030993868015250767
p95_us,15,-0.11951747319391048
p95_us,16,-0.23604707316429135
p95_us,17,-0.3321485502494359
p95_us,18,-0.439224481449256
p95_us,19,-0.43304992789150876
p95_us,20,-0.22718975010652107
extend_delta_checkpoints_req,1,0.03709258568023101
extend_delta_checkpoints_req,2,0.20603139768125328
extend_delta_checkpoints_req,3,0.3335773403003459
extend_delta_checkpoints_req,4,-0.08773105521485834
extend_delta_checkpoints_req,5,0.012666616743093523
extend_delta_checkpoints_req,6,0.012803104987210778
extend_delta_checkpoints_req,7,0.012942566714258304
extend_delta_checkpoints_req,8,0.013085100163263048
extend_delta_checkpoints_req,9,0.013230807948989062
extend_delta_checkpoints_req,10,0.01337979730830993
extend_delta_checkpoints_req,11,0.013532180363416992
extend_delta_checkpoints_req,12,0.013688074403221088
extend_delta_checkpoints_req,13,0.013847602184431783
extend_delta_checkpoints_req,14,0.014010892253938617
extend_delta_checkpoints_req,15,0.014178079294274148
extend_delta_checkpoints_req,16,0.014349304494108865
extend_delta_checkpoints_req,17,0.014524715945921168
extend_delta_checkpoints_req,18,0.014704469073196173
extend_delta_checkpoints_req,19,0.014888727089743092
extend_delta_checkpoints_req,20,0.015077661493985305
extend_delta_checkpoint_write_time,1,0.39995856136107877
extend_delta_checkpoint_write_time,2,-0.06826691572809593
extend_delta_checkpoint_write_time,3,-0.26081967228911684
extend_delta_checkpoint_write_time,4,-0.22307273289312118
extend_delta_checkpoint_write_time,5,-0.1291924240925866
extend_delta_checkpoint_write_time,6,-0.0010775351894982202
extend_delta_checkpoint_write_time,7,-0.035724855457647274
extend_delta_checkpoint_write_time,8,-0.022499740172391345
extend_delta_checkpoint_write_time,9,-0.05908789736943293
extend_delta_checkpoint_write_time,10,-0.09116504051183262
extend_delta_checkpoint_write_time,11,0.07302228630243462
extend_delta_checkpoint_write_time,12,0.0772148813784001
extend_delta_checkpoint_write_time,13,-0.03785490155749695
extend_delta_checkpoint_write_time,14,0.00876847005337238
extend_delta_checkpoint_write_time,15,0.043798733349364016
extend_delta_checkpoint_write_time,16,-0.010107730401994933
extend_delta_checkpoint_write_time,17,-0.05003021884079293
extend_delta_checkpoint_write_time,18,-0.051279712996047964
extend_delta_checkpoint_write_time,19,-0.024287931139854346
extend_delta_checkpoint_write_time,20,-0.07387710570834131
vacuum_delta_checkpoints_req,1,-0.02998776009791914
vacuum_delta_checkpoints_req,2,0.09090909090909109
vacuum_delta_checkpoints_req,3,0.029999999999999964
vacuum_delta_checkpoints_req,4,0.03504351594956464
vacuum_delta_checkpoints_req,5,0.09605368191907653
vacuum_delta_checkpoints_req,6,-0.033747476884919345
vacuum_delta_checkpoints_req,7,-0.030158035973074145
vacuum_delta_checkpoints_req,8,-0.09729629828601358
vacuum_delta_checkpoints_req,9,0.03598154860927044
vacuum_delta_checkpoints_req,10,-0.031194717157237987
vacuum_delta_checkpoints_req,11,0.03531300162573004
vacuum_delta_checkpoints_req,12,-0.09881969222055795
vacuum_delta_checkpoints_req,13,-0.09922313697530813
vacuum_delta_checkpoints_req,14,-0.03269315158209668
vacuum_delta_checkpoints_req,15,0.10084731876758825
vacuum_delta_checkpoints_req,16,-0.033497680166585914
vacuum_delta_checkpoints_req,17,-0.04137032321071193
vacuum_delta_checkpoints_req,18,-0.11200816362425269
vacuum_delta_checkpoints_req,19,-0.04243558427146962
vacuum_delta_checkpoints_req,20,0.09738337140197482
vacuum_delta_checkpoint_write_time,1,0.09179042674815208
vacuum_delta_checkpoint_write_time,2,-0.07142907164151849
vacuum_delta_checkpoint_write_time,3,-0.134269172435504
vacuum_delta_checkpoint_write_time,4,-0.2901456677451183
vacuum_delta_checkpoint_write_time,5,-0.14874242538020352
vacuum_delta_checkpoint_write_time,6,0.06046260203914855
vacuum_delta_checkpoint_write_time,7,0.10333454829486531
vacuum_delta_checkpoint_write_time,8,0.19586037389749425
vacuum_delta_checkpoint_write_time,9,-0.05328908689097965
vacuum_delta_checkpoint_write_time,10,0.02117589887113149
vacuum_delta_checkpoint_write_time,11,-0.047033833231793
vacuum_delta_checkpoint_write_time,12,0.07922706838305561
vacuum_delta_checkpoint_write_time,13,-0.06094173695267896
vacuum_delta_checkpoint_write_time,14,-0.18750485648633347
vacuum_delta_checkpoint_write_time,15,0.10289078238658478
vacuum_delta_checkpoint_write_time,16,-0.11825328213106634
vacuum_delta_checkpoint_write_time,17,0.133799615858252
vacuum_delta_checkpoint_write_time,18,0.14354563099960815
