Epoch,header_epoch,header_run,phase,probe,size_bytes,lookup_shared_hit,lookup_execution_ms,array_length_shared_hit,array_length_execution_ms,serialize_shared_hit,serialize_execution_ms
1,1,1,post-run,min,1000,3,0.054,3,0.046,3,0.055
1,1,1,post-run,p50,1700,3,0.043,3,0.045,3,0.066
1,1,1,post-run,p90,2300,3,0.042,29,0.105,29,0.11
1,1,1,post-run,p95,2700,3,0.043,32,0.12,32,0.121
1,1,1,post-run,p99,4600,3,0.045,44,0.166,44,0.165
1,1,1,post-run,max,382800,3,0.061,105,0.454,105,1.944
2,1,2,post-run,min,1100,3,0.051,3,0.055,3,0.063
2,1,2,post-run,p50,2400,3,0.049,34,0.15,34,0.142
2,1,2,post-run,p90,3400,3,0.044,42,0.162,42,0.186
2,1,2,post-run,p95,4200,3,0.066,50,0.194,50,0.215
2,1,2,post-run,p99,7900,3,0.05,58,0.246,58,0.29
2,1,2,post-run,max,764400,3,0.052,166,0.8,166,3.785
3,1,3,post-run,min,1500,3,0.049,3,0.047,3,0.063
3,1,3,post-run,p50,3100,3,0.047,38,0.162,38,0.158
3,1,3,post-run,p90,4600,3,0.045,46,0.215,46,0.196
3,1,3,post-run,p95,5600,3,0.047,50,0.231,50,0.209
3,1,3,post-run,p99,11300,3,0.065,58,0.233,58,0.257
3,1,3,post-run,max,1134900,3,0.044,213,1.062,213,5.343
4,1,4,post-run,min,1700,3,0.055,3,0.059,3,0.069
4,1,4,post-run,p50,3800,3,0.05,46,0.219,46,0.23
4,1,4,post-run,p90,5700,3,0.053,50,0.239,50,0.251
4,1,4,post-run,p95,7100,3,0.053,54,0.239,54,0.249
4,1,4,post-run,p99,14700,3,0.047,58,0.267,58,0.303
4,1,4,post-run,max,1525100,3,0.049,292,1.413,292,7.536
5,1,5,post-run,min,2100,3,0.054,30,0.12,30,0.13
5,1,5,post-run,p50,4500,3,0.054,50,0.232,50,0.233
5,1,5,post-run,p90,6800,3,0.048,54,0.264,54,0.263
5,1,5,post-run,p95,8600,3,0.048,58,0.289,58,0.295
5,1,5,post-run,p99,18300,3,0.05,62,0.293,62,0.374
5,1,5,post-run,max,1905400,3,0.058,352,1.698,352,9.474
6,1,6,post-run,min,2500,3,0.048,34,0.14,34,0.144
6,1,6,post-run,p50,5100,3,0.046,50,0.222,50,0.23
6,1,6,post-run,p90,7900,3,0.046,54,0.23,54,0.235
6,1,6,post-run,p95,10100,3,0.044,58,0.258,58,0.275
6,1,6,post-run,p99,21700,3,0.045,62,0.276,62,0.325
6,1,6,post-run,max,2291500,3,0.043,389,1.837,389,11.014
7,1,7,post-run,min,3000,3,0.049,38,0.181,38,0.248
7,1,7,post-run,p50,5800,3,0.044,50,0.276,50,0.233
7,1,7,post-run,p90,8900,3,0.047,58,0.268,58,0.313
7,1,7,post-run,p95,11600,3,0.046,58,0.275,58,0.289
7,1,7,post-run,p99,25000,3,0.045,68,0.319,68,0.375
7,1,7,post-run,max,2668300,3,0.045,462,2.155,462,13.107
