Epoch,p95_us,p99_us,avg_us,runtime_ms,throughput_ops_sec,Operations,value_mean_bytes,value_p50_bytes,value_p90_bytes,value_p95_bytes,value_p99_bytes,value_max_bytes,value_pct_gt_128k,value_pct_gt_256k,sample_n,sample_latency_p50_us,sample_latency_p95_us,sample_latency_p99_us,sample_key_p50_bytes,sample_key_p95_bytes,sample_key_p99_bytes,sample_key_max_bytes,sample_pct_gt_128k,sample_pct_gt_256k,sample_key_latency_spearman,sample_key_latency_pearson,sample_query_execute_us_mean,sample_query_execute_us_p95,sample_resultset_next_us_mean,sample_resultset_next_us_p95,sample_json_fetch_us_mean,sample_json_fetch_us_p95,sample_json_parse_us_mean,sample_json_parse_us_p95,sample_value_join_us_mean,sample_value_join_us_p95,slow_n,slow_rate_pct,slow_latency_p50_us,slow_latency_p95_us,slow_latency_p99_us,slow_key_p50_bytes,slow_key_p95_bytes,slow_key_p99_bytes,slow_pct_gt_128k,slow_pct_gt_256k,slow_key_latency_spearman,slow_key_latency_pearson,slow_query_execute_us_mean,slow_query_execute_us_p50,slow_query_execute_us_p95,slow_query_execute_us_share_mean,slow_resultset_next_us_mean,slow_resultset_next_us_p50,slow_resultset_next_us_p95,slow_resultset_next_us_share_mean,slow_json_fetch_us_mean,slow_json_fetch_us_p50,slow_json_fetch_us_p95,slow_json_fetch_us_share_mean,slow_json_parse_us_mean,slow_json_parse_us_p50,slow_json_parse_us_p95,slow_json_parse_us_share_mean,slow_value_join_us_mean,slow_value_join_us_p50,slow_value_join_us_p95,slow_value_join_us_share_mean,duration_avg-run_s,duration_clean-run_s,duration_extend_s,duration_load_s,duration_reference_s,duration_run_s,duration_vacuum_s,pg_run_samples,run_wait_io_mean,run_wait_io_max,run_wait_lwlock_mean,run_wait_client_mean,run_active_backends_mean,run_toast_total_bytes,run_delta_blks_read,run_delta_blks_hit,run_delta_tup_returned,run_delta_tup_fetched,run_delta_temp_bytes,run_delta_checkpoints_timed_x,run_delta_checkpoints_req_x,run_delta_buffers_checkpoint_x,run_delta_buffers_clean_x,run_delta_buffers_backend_x,run_delta_buffers_alloc_x,run_delta_checkpoint_write_time_x,run_delta_checkpoint_sync_time_x,run_delta_wal_bytes_x,run_delta_wal_records_x,run_delta_wal_buffers_full,os_run_samples,run_os_postgres_cpu_pct_mean,run_os_postgres_cpu_pct_max,run_os_postgres_rss_kb_mean,run_os_postgres_rss_kb_max,run_os_mem_available_kb_mean,run_os_mem_available_kb_max,run_os_mem_dirty_kb_mean,run_os_mem_dirty_kb_max,run_os_mem_writeback_kb_mean,run_os_mem_writeback_kb_max,run_os_disk_reads_s_mean,run_os_disk_reads_s_max,run_os_disk_writes_s_mean,run_os_disk_writes_s_max,run_os_disk_read_kb_s_mean,run_os_disk_read_kb_s_max,run_os_disk_write_kb_s_mean,run_os_disk_write_kb_s_max,run_os_disk_await_ms_mean,run_os_disk_await_ms_max,run_os_disk_aqu_sz_mean,run_os_disk_aqu_sz_max,run_os_disk_util_pct_mean,run_os_disk_util_pct_max,avg-run_delta_checkpoints_timed,clean-run_delta_checkpoints_timed,extend_delta_checkpoints_timed,load_delta_checkpoints_timed,reference_delta_checkpoints_timed,run_delta_checkpoints_timed_y,vacuum_delta_checkpoints_timed,avg-run_delta_checkpoints_req,clean-run_delta_checkpoints_req,extend_delta_checkpoints_req,load_delta_checkpoints_req,reference_delta_checkpoints_req,run_delta_checkpoints_req_y,vacuum_delta_checkpoints_req,avg-run_delta_checkpoint_write_time,clean-run_delta_checkpoint_write_time,extend_delta_checkpoint_write_time,load_delta_checkpoint_write_time,reference_delta_checkpoint_write_time,run_delta_checkpoint_write_time_y,vacuum_delta_checkpoint_write_time,avg-run_delta_checkpoint_sync_time,clean-run_delta_checkpoint_sync_time,extend_delta_checkpoint_sync_time,load_delta_checkpoint_sync_time,reference_delta_checkpoint_sync_time,run_delta_checkpoint_sync_time_y,vacuum_delta_checkpoint_sync_time,avg-run_delta_buffers_checkpoint,clean-run_delta_buffers_checkpoint,extend_delta_buffers_checkpoint,load_delta_buffers_checkpoint,reference_delta_buffers_checkpoint,run_delta_buffers_checkpoint_y,vacuum_delta_buffers_checkpoint,avg-run_delta_buffers_clean,clean-run_delta_buffers_clean,extend_delta_buffers_clean,load_delta_buffers_clean,reference_delta_buffers_clean,run_delta_buffers_clean_y,vacuum_delta_buffers_clean,avg-run_delta_buffers_backend,clean-run_delta_buffers_backend,extend_delta_buffers_backend,load_delta_buffers_backend,reference_delta_buffers_backend,run_delta_buffers_backend_y,vacuum_delta_buffers_backend,avg-run_delta_buffers_alloc,clean-run_delta_buffers_alloc,extend_delta_buffers_alloc,load_delta_buffers_alloc,reference_delta_buffers_alloc,run_delta_buffers_alloc_y,vacuum_delta_buffers_alloc,avg-run_delta_wal_bytes,clean-run_delta_wal_bytes,extend_delta_wal_bytes,load_delta_wal_bytes,reference_delta_wal_bytes,run_delta_wal_bytes_y,vacuum_delta_wal_bytes,avg-run_delta_wal_records,clean-run_delta_wal_records,extend_delta_wal_records,load_delta_wal_records,reference_delta_wal_records,run_delta_wal_records_y,vacuum_delta_wal_records,vacuum_progress_samples,vacuum_toast_samples,vacuum_heap_blks_total_max,vacuum_heap_blks_scanned_max,vacuum_heap_blks_vacuumed_max,vacuum_index_vacuum_count_max,vacuum_dead_tuples_max,vacuum_phase_share_scanning_heap,vacuum_phase_share_vacuuming_heap,vacuum_phase_share_initializing,vacuum_phase_share_vacuuming_indexes,vacuum_phase_share_truncating_heap,vacuum_phase_share_cleaning_up_indexes,is_peak
1,96,212,62.70708,6858,14581.51064450277,100000,2000.0,1700.0,2300.0,2700.0,4600.0,382800,0.03,0.01,1000,52.0,90.14999999999986,196.07999999999993,1811.0,2773.2999999999997,4273.05,43532,0.0,0.0,0.5075683165944673,0.7255663339312446,46.212,68.0,0.001,0.0,0.255,1.0,8.767,18.0,0.479,2.0,82,0.082,1906.5,4843.450000000001,8197.309999999976,95358.0,408396.0,408396.0,40.243902439024396,14.634146341463413,0.6699165491906393,0.429468489706564,1369.0487804878048,1173.0,3173.1000000000004,0.5983859963327789,0.17073170731707318,0.0,1.0,7.462368342501387e-05,50.146341463414636,23.0,66.75000000000001,0.021918041874546927,633.0853658536586,614.0,1444.65,0.2767099484030532,133.9268292682927,67.5,505.550000000001,0.05853694938382159,6.518,7.152,103.346,,5.494,7.136,0.353,5,0.0,0,0.0,0.6,0.4,121225216,0,365454,132964,131227,0,0,0,0,0,0,0,0,0,0,0,0,5,39.775,46.0,190018.0,191580.0,15017964.0,15163556,11190.4,11276,1.6,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,602.0,19042.0,,0.0,0.0,1.0,0.0,0.0,244875852.0,,0.0,0.0,1066607.0,0.0,0.0,666970.0,,0.0,0.0,14431.0,1.0,0.0,5606.0,107.0,0.0,0.0,108.0,1.0,,,,,,False
2,107,243,74.79005,8056,12413.108242303872,100000,3000.0,2400.0,3400.0,4200.0,7901.000000000022,764400,0.06,0.03,1000,64.0,102.0,188.36999999999966,2556.0,4587.05,7672.049999999987,333002,0.1,0.1,0.7104967344172992,0.9768427098575473,58.466,78.04999999999995,0.001,0.0,0.257,1.0,12.677,21.0,1.093,2.0,137,0.13699999999999998,1549.0,7479.999999999999,8615.239999999993,125806.0,419847.0,815197.0,43.79562043795621,18.248175182481752,0.6534334236999274,0.6576252513108425,1386.029197080292,959.0,4304.799999999999,0.5862597022482664,0.27007299270072993,0.0,1.0,0.00011423490401180632,40.92700729927007,25.0,126.19999999999993,0.017311219102545895,775.3503649635037,582.0,2585.999999999998,0.32795605969854336,105.46715328467154,60.0,310.99999999999994,0.044610273731529454,8.069,8.546,112.583,,5.602,8.375,0.465,6,0.0,0,0.0,0.3333333333333333,0.16666666666666666,262987776,0,898483,263977,261893,0,0,0,71,0,0,0,0,0,0,0,0,6,44.36,50.3,320756.0,323580.0,14821773.333333334,14973420,2752.0,2940,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10707.0,,55.0,83.0,795.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,21916.0,,0.0,0.0,0.0,0.0,759.0,17558.0,,0.0,0.0,1.0,0.0,576934.0,617204080.0,,0.0,0.0,9785858.0,0.0,4685.0,1228838.0,,0.0,0.0,76150.0,1.0,0.0,5801.0,181.0,0.0,0.0,323.0,1.0,,,,,,False
3,129,274,89.48905,9521,10503.09841403214,100000,4000.0,3100.0,4600.0,5600.0,11301.000000000022,1134900,0.1,0.05,1000,74.0,123.09999999999991,286.59999999999945,3205.0,5546.499999999996,12078.009999999993,105978,0.0,0.0,0.7179291130508445,0.7268910593318968,63.036,91.0,0.001,0.0,0.289,1.0,17.016,29.0,1.343,3.0,191,0.191,1529.0,11238.5,14764.799999999965,133603.0,919181.5,1210124.0,53.92670157068062,21.98952879581152,0.6925483016526093,0.8208565837046871,1465.2774869109949,922.0,5930.0,0.5454336391151233,0.193717277486911,0.0,1.0,7.210915376984709e-05,61.86910994764398,22.0,201.0,0.023030104597250887,967.7801047120419,624.0,3718.5,0.360245638857869,126.67539267015707,63.0,556.5,0.04715353987733648,9.174,9.208,120.142,,5.585,9.82,1.477,7,0.0,0,0.0,0.42857142857142855,0.14285714285714285,501006336,0,1484961,425536,423105,0,0,0,0,0,0,0,0,0,0,0,0,7,45.916666666666664,51.3,511128.6666666667,517240.0,14571505.714285715,14695312,993.7142857142857,1140,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,55491.0,0.0,0.0,0.0,,0.0,0.0,94.0,0.0,0.0,51443.0,,0.0,0.0,142.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36406.0,,0.0,0.0,0.0,0.0,987.0,29087.0,,0.0,0.0,0.0,33442.0,739358.0,950612871.0,,0.0,0.0,16393948.0,195.0,6189.0,1666510.0,,0.0,0.0,206990.0,3.0,2.0,59167.0,52847.0,3664.0,1.0,205057.0,0.6666666666666666,0.3333333333333333,,,,,False
4,164,353,106.47854,11242,8895.21437466643,100000,5000.0,3800.0,5700.0,7100.0,14701.000000000022,1525100,0.16999999999999998,0.06,1000,86.0,161.0,442.28999999999974,4039.0,7022.9,17821.629999999965,666528,0.4,0.1,0.6878289891772846,0.9846148268544789,77.808,118.04999999999995,0.001,0.0,0.502,1.0,24.059,36.0,2.061,4.0,262,0.262,1579.5,9163.6,17522.45999999998,151884.0,830709.0,1626084.0,73.2824427480916,24.80916030534351,0.7583814997979396,0.9152887496537819,1589.3015267175572,879.5,4632.899999999997,0.5376506665805868,0.10305343511450382,0.0,0.9499999999999886,3.486232609186869e-05,47.86641221374046,20.0,148.5999999999999,0.016192904871041674,1152.5801526717557,601.0,3309.399999999997,0.3899105845895607,132.58396946564886,64.5,629.3499999999972,0.04485231931308306,9.915,11.044,133.78,,5.72,11.552,0.556,8,0.0,0,0.0,0.5,0.375,635363328,0,1772403,505957,503179,0,0,0,97,0,0,0,0,0,0,0,0,8,46.642857142857146,52.7,628328.0,639900.0,14416578.5,14586868,80983.5,81132,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,46133.0,,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,115195.0,,57.0,115.0,579.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26947.0,,0.0,0.0,0.0,0.0,942.0,16559.0,,0.0,0.0,0.0,39134.0,896110.0,1401960511.0,,0.0,0.0,4703772.0,242.0,7680.0,2419720.0,,0.0,0.0,71184.0,1.0,0.0,5801.0,255.0,0.0,0.0,299.0,1.0,,,,,,False
5,173,351,115.77545,12179,8210.854749979473,100000,6000.0,4500.0,6800.0,8600.0,18300.0,1905400,0.22,0.08,1000,94.0,170.0,314.0799999999999,4701.5,8855.049999999996,17947.009999999995,89064,0.0,0.0,0.6975499614897505,0.7777140613713258,78.436,121.04999999999995,0.003,0.0,0.359,1.0,22.881,43.0,1.74,4.0,316,0.316,1758.5,9777.25,20054.300000000003,174639.0,885260.5,2031715.0,67.40506329113924,25.31645569620253,0.7252190650254204,0.905132385593453,1679.863924050633,991.5,5459.25,0.5428924701931082,1.018987341772152,0.0,1.0,0.0003293127182208114,64.21835443037975,26.0,218.5,0.020753860220046348,1154.360759493671,685.5,3681.0,0.3730622196495377,153.36075949367088,73.0,730.75,0.04956258680253714,10.686,11.714,143.588,,5.647,12.484,0.632,9,0.0,0,0.0,0.4444444444444444,0.2222222222222222,850763776,0,2071079,591524,588399,0,0,0,111,0,0,0,0,0,0,0,0,9,47.512499999999996,53.2,767493.5,782776.0,14190269.333333334,14338160,31790.222222222223,135084,9.777777777777779,88,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,76663.0,,0.0,0.0,0.0,0.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,190211.0,,56.0,124.0,1453.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40000.0,,0.0,0.0,1.0,0.0,729.0,26479.0,,0.0,0.0,1.0,0.0,1082606.0,1825938655.0,,0.0,0.0,10761471.0,0.0,9391.0,2911333.0,,0.0,0.0,138313.0,,,,,,,,,,,,,,False
6,197,409,129.31811,13525,7393.715341959334,100000,7000.0,5100.0,7900.0,10100.0,21701.000000000022,2291500,0.22999999999999998,0.1,1000,103.0,194.0,311.2199999999998,5537.0,10223.849999999999,19147.299999999977,224170,0.1,0.0,0.689031574861339,0.9102768742147801,84.867,134.0,0.0,0.0,0.511,1.0,27.419,51.0,2.124,4.0,352,0.35200000000000004,1816.0,11995.699999999997,25171.480000000018,209183.0,1260154.0,2443443.0,67.89772727272727,30.39772727272727,0.8334234247858614,0.9444795559608867,1773.9517045454545,960.0,6405.049999999999,0.513139296761236,0.17329545454545456,0.0,1.0,5.01280319241604e-05,65.11647727272727,29.5,232.45,0.018835813438257056,1397.034090909091,785.5,4534.349999999999,0.40411082732618725,190.8068181818182,77.0,1065.1999999999994,0.055193428461546054,11.634,12.573,153.067,,5.558,13.83,0.783,10,0.0,0,0.0,0.3,0.3,977821696,0,2240532,652431,648959,0,0,0,124,0,0,0,0,0,0,0,0,10,48.388888888888886,53.8,870050.6666666666,892320.0,14059008.4,14201856,1334.4,2984,2.8,28,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,99100.0,,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,0.0,0.0,0.0,252856.0,,55.0,138.0,7630.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,31476.0,,0.0,0.0,0.0,0.0,602.0,15717.0,,0.0,0.0,0.0,0.0,1181679.0,2237571293.0,,0.0,0.0,45357874.0,0.0,10544.0,3366985.0,,0.0,0.0,283974.0,1.0,0.0,5801.0,71.0,0.0,0.0,196.0,1.0,,,,,,False
7,212,433,140.51969,14660,6821.2824010914055,100000,8000.0,5800.0,8900.0,11600.0,25002.000000000044,2668300,0.24,0.12,1000,109.0,215.04999999999995,663.3599999999997,6165.0,12942.699999999992,38598.28999999998,1170533,0.7000000000000001,0.3,0.7254804884060924,0.8304132867752413,116.003,146.04999999999995,0.003,0.0,1.267,1.0,43.434,61.049999999999955,4.526,6.0,423,0.42300000000000004,1950.0,12499.5,28124.119999999988,228942.0,1170533.0,2845081.0,62.4113475177305,31.44208037825059,0.8077778496415935,0.949295557934646,1919.2978723404256,1010.0,6394.499999999999,0.5353615883139595,0.16548463356973994,0.0,1.0,4.615964908115921e-05,66.54373522458629,30.0,233.89999999999998,0.01856145431909242,1405.486997635934,858.0,4879.199999999988,0.39204115330542655,166.5035460992908,77.0,639.6999999999995,0.0464438606347875,12.537,13.433,161.57,,5.78,14.969,0.805,11,0.0,0,0.0,0.36363636363636365,0.36363636363636365,1221984256,0,2669726,779868,775173,0,0,0,137,0,1,0,0,0,32404,312,0,11,48.43,53.5,1013452.4,1043880.0,13795926.909090908,13962088,1930.909090909091,2176,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,119189.0,,0.0,0.0,0.0,0.0,0.0,457.0,,0.0,0.0,0.0,0.0,0.0,357117.0,,57.0,149.0,13690.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,48901.0,,0.0,1.0,1.0,0.0,529.0,30041.0,,0.0,0.0,1.0,0.0,1322681.0,2656728381.0,,96.0,32404.0,51192711.0,0.0,11972.0,3912710.0,,2.0,312.0,261841.0,1.0,0.0,5801.0,110.0,0.0,0.0,227.0,1.0,,,,,,False
8,226,462,148.72269,15468,6464.959917248513,100000,9000.0,6500.0,10000.0,13000.0,28302.000000000044,3037000,0.3,0.16999999999999998,1000,119.0,222.04999999999995,354.4599999999996,7011.0,14719.09999999999,30138.819999999992,131908,0.1,0.0,0.7374762131541959,0.8951397831686542,95.123,147.0,0.002,0.0,0.698,1.0,34.21,67.0,2.65,7.0,453,0.453,1611.0,14260.399999999996,29922.360000000004,152349.0,1342889.0,3238247.0,75.93818984547461,41.94260485651214,0.84388066263372,0.9595567602497641,1847.6114790286977,1009.0,7881.799999999999,0.5405802708430081,0.09933774834437085,0.0,1.0,2.9064566611788455e-05,66.65342163355409,29.0,272.79999999999995,0.019501678317252018,1319.0353200883003,771.0,5544.599999999999,0.3859277119016817,160.03311258278146,69.0,649.1999999999999,0.046823016811591206,13.306,14.538,168.849,,5.558,15.77,0.773,12,0.0,0,0.0,0.4166666666666667,0.4166666666666667,1285193728,0,2847357,838083,833041,0,0,0,0,0,0,0,0,0,20497,330,0,12,49.24545454545455,54.0,1104476.7272727273,1131964.0,13723799.333333334,13866656,862.6666666666666,980,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,134759.0,,0.0,0.0,0.0,0.0,0.0,101.0,,0.0,0.0,0.0,0.0,0.0,489707.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,29637.0,,0.0,0.0,0.0,0.0,133.0,7977.0,,0.0,0.0,1.0,0.0,1434832.0,3037868984.0,,50.0,20497.0,29819098.0,0.0,13308.0,4360291.0,,1.0,330.0,293169.0,,,,,,,,,,,,,,False
9,246,508,162.27597,16853,5933.661662611998,100000,10000.0,7200.0,11100.0,14500.0,31501.000000000022,3415700,0.38999999999999996,0.22,1000,127.0,250.0999999999999,481.3999999999987,7686.0,14501.0,25841.35,353955,0.4,0.2,0.7565580429861845,0.9148856622934066,105.929,166.0,0.005,0.0,0.859,2.0,40.29,69.0,3.224,7.0,534,0.534,1757.5,12834.599999999986,32420.269999999997,164816.5,1509842.0,3641966.0,73.40823970037454,42.32209737827715,0.8541249231275536,0.9655459203279384,1832.063670411985,1007.0,7166.949999999993,0.5207086545442158,0.19662921348314608,0.0,1.0,5.588590333974158e-05,69.85205992509363,28.0,267.34999999999997,0.019853334099768576,1432.5786516853932,720.0,5389.05,0.4071671275923075,164.51123595505618,73.5,678.6999999999999,0.04675734021421865,14.25,15.553,178.386,,5.485,17.153,1.831,13,0.0,0,0.0,0.5384615384615384,0.38461538461538464,1567694848,0,3135498,935569,931056,0,0,0,0,0,0,0,0,0,0,0,0,13,49.508333333333326,54.0,1228002.3333333333,1264592.0,13409309.23076923,13587184,1543.6923076923076,1652,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,125284.0,,0.0,0.0,22809.0,0.0,0.0,550.0,,0.0,0.0,24.0,0.0,0.0,670875.0,,0.0,0.0,12084.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,58848.0,,0.0,0.0,1.0,0.0,137.0,34765.0,,0.0,0.0,1.0,0.0,1550255.0,3503381104.0,,50.0,0.0,62455036.0,0.0,14665.0,4829544.0,,1.0,0.0,404288.0,3.0,2.0,178105.0,48799.0,0.0,0.0,168955.0,0.6666666666666666,,0.3333333333333333,,,,False
10,259,541,172.24405,17799,5618.293162537221,100000,11000.0,7800.0,12200.0,16100.0,34700.0,3810300,0.41000000000000003,0.22,1000,135.0,271.0999999999999,423.1199999999999,8318.0,18010.949999999993,37007.71999999999,2076109,0.4,0.3,0.7713445256453595,0.9964997886247561,122.064,177.0999999999999,0.001,0.0,1.475,2.0,53.164,78.0,4.498,7.0,556,0.5559999999999999,1720.5,15148.0,38891.20000000002,174384.0,1668076.0,4062772.0,72.66187050359713,40.10791366906475,0.8641189087226503,0.9769379189048639,2023.3651079136691,991.0,8276.0,0.5252090698963159,0.11870503597122302,0.0,1.0,3.081251193401267e-05,70.14388489208633,28.0,299.75,0.01820739341555294,1565.3129496402878,726.5,5921.0,0.4063115228990652,167.50359712230215,71.0,691.25,0.04347925547634042,14.616,16.437,186.134,,5.437,18.118,1.901,13,0.0,0,0.0,0.38461538461538464,0.38461538461538464,1786970112,0,3035995,922767,918254,0,0,0,165,0,0,0,0,0,0,0,0,13,49.1,53.9,1337943.6666666667,1383172.0,13185248.923076924,13327764,2809.846153846154,5236,6.153846153846154,80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,136430.0,,0.0,0.0,0.0,0.0,0.0,174.0,,0.0,0.0,0.0,0.0,0.0,698205.0,,54.0,180.0,11868.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,54453.0,,0.0,0.0,1.0,0.0,1112.0,26989.0,,0.0,0.0,1.0,0.0,1670384.0,3939397462.0,,50.0,0.0,112737146.0,0.0,16037.0,5327176.0,,1.0,0.0,569834.0,4.0,3.0,202818.0,202818.0,6597.0,1.0,469769.0,0.75,0.25,,,,,False
