Epoch,source,q1_rate_pct,q2_q4_rate_pct_mean,q1_latency_p95_us,q2_q4_latency_p95_us_mean,q1_key_p95_bytes,q2_q4_key_p95_bytes_mean
49,read_sample,1.0,1.0,1187.1499999999978,741.6333333333328,102965.84999999992,72974.66666666658
49,slow_sample,8.88,3.0,6057.9999999999945,14231.666666666664,529571.0,1777316.9666666668
61,read_sample,1.0,1.0,1824.599999999998,1094.616666666666,98377.94999999987,97506.44999999995
61,slow_sample,18.936,4.745333333333334,4571.349999999999,11319.166666666677,227915.94999999987,1238086.4000000001
73,read_sample,1.0,1.0,3688.2999999999984,1298.033333333332,123390.34999999969,128738.56666666661
73,slow_sample,29.18,7.332000000000001,6189.699999999993,11782.549999999997,211805.29999999978,1060384.8999999997
85,read_sample,1.0,1.0,5278.299999999991,1311.833333333333,132276.19999999998,139008.2166666666
85,slow_sample,35.72,10.753333333333332,8148.349999999988,7092.9666666666235,233293.0,746260.1333333313
96,read_sample,1.0,1.0,6273.399999999997,1423.4499999999982,152605.04999999993,145496.3666666666
96,slow_sample,40.88,14.293333333333335,8861.499999999993,6257.016666666649,241585.44999999934,540395.2833333331
