peak_epoch,feature,peak_value,local_nonpeak_mean,peak_minus_local,peak_vs_local_ratio
49,p95_us,946.0,876.25,69.75,1.0796005706134093
49,avg_us,568.36456,558.5887500000001,9.775809999999865,1.0175009074207095
49,runtime_ms,57418.0,56460.75,957.25,1.0169542558325917
49,value_p95_bytes,74704.99999999993,74777.49999999997,-72.50000000004366,0.9990304570224995
49,value_p99_bytes,166602.00000000006,167253.25000000006,-651.25,0.9961062042142679
49,value_pct_gt_128k,1.6199999999999999,1.6124999999999998,0.007500000000000062,1.0046511627906978
49,sample_key_p95_bytes,80607.0,82100.27499999997,-1493.274999999965,0.9818115712767105
49,sample_key_p99_bytes,183922.34,211597.2449999994,-27674.904999999417,0.8692095211353082
49,sample_pct_gt_128k,2.1999999999999997,2.4749999999999996,-0.2749999999999999,0.888888888888889
49,sample_latency_p95_us,914.3999999999987,914.0624999999992,0.3374999999995225,1.0003692307692302
49,slow_rate_pct,4.47,3.8055000000000003,0.6644999999999994,1.17461568782026
49,slow_key_p50_bytes,122572.0,131487.5,-8915.5,0.9321950755775263
49,slow_key_p95_bytes,936839.0,1678046.75,-741207.75,0.5582913586883083
49,slow_latency_p95_us,9929.500000000002,13626.137499999997,-3696.6374999999953,0.7287098049612375
49,slow_query_execute_us_share_mean,0.5817991638523914,0.5479671240033398,0.03383203984905159,1.0617410030037593
49,slow_json_parse_us_share_mean,0.35192255101177916,0.38146141291742647,-0.029538861905647307,0.9225639582265127
49,duration_vacuum_s,196.425,194.01025,2.414749999999998,1.012446507336597
49,duration_run_s,57.748,56.8305,0.9174999999999969,1.0161444998724276
49,run_delta_blks_read,16775.0,9906.0,6869.0,1.6934181304260045
49,run_wait_io_mean,0.0,0.04820652027118278,-0.04820652027118278,0.0
49,run_wait_io_max,0.0,1.0,-1.0,0.0
49,run_os_disk_read_kb_s_mean,0.0,0.0,0.0,
49,run_os_disk_write_kb_s_mean,0.0,0.0,0.0,
49,run_os_disk_await_ms_mean,0.0,0.0,0.0,
49,run_os_disk_util_pct_mean,0.0,0.0,0.0,
49,extend_delta_checkpoints_req,35.0,35.75,-0.75,0.9790209790209791
49,extend_delta_checkpoint_write_time,474183.0,462423.75,11759.25,1.025429597852619
49,vacuum_delta_checkpoints_req,1.0,1.25,-0.25,0.8
49,vacuum_delta_checkpoint_write_time,197198.0,116167.75,81030.25,1.6975279283622176
49,vacuum_toast_samples,189.0,187.0,2.0,1.0106951871657754
