Epoch,source,run_quartile,n,rate_pct,latency_p50_us,latency_p95_us,key_p50_bytes,key_p95_bytes
1,read_sample,q1,250,1.0,59.5,153.09999999999997,1811.0,2880.65
1,read_sample,q2,250,1.0,50.0,73.0,1812.5,2669.75
1,read_sample,q3,250,1.0,51.0,69.0,1808.0,2775.85
1,read_sample,q4,250,1.0,52.0,72.0,1811.0,2723.8999999999983
2,read_sample,q1,250,1.0,67.0,127.19999999999993,2552.0,4059.799999999996
2,read_sample,q2,250,1.0,63.0,95.09999999999997,2559.0,4640.899999999998
2,read_sample,q3,250,1.0,62.0,100.64999999999995,2566.0,4965.949999999998
2,read_sample,q4,250,1.0,63.0,87.64999999999995,2553.5,4172.749999999996
3,read_sample,q1,250,1.0,77.5,155.19999999999993,3190.0,5333.65
3,read_sample,q2,250,1.0,74.0,119.09999999999997,3293.0,6217.349999999989
3,read_sample,q3,250,1.0,75.0,118.0,3205.0,5448.0
3,read_sample,q4,250,1.0,73.0,102.0,3206.0,5385.199999999998
4,read_sample,q1,250,1.0,93.0,252.54999999999964,4051.0,6885.799999999998
4,read_sample,q2,250,1.0,86.0,126.64999999999995,4032.0,6446.8499999999985
4,read_sample,q3,250,1.0,83.5,133.54999999999998,3947.5,7241.15
4,read_sample,q4,250,1.0,86.0,138.74999999999991,4046.0,7308.9999999999945
5,read_sample,q1,250,1.0,99.0,203.39999999999986,4699.5,8293.799999999994
5,read_sample,q2,250,1.0,91.0,161.19999999999993,4696.5,8924.749999999995
5,read_sample,q3,250,1.0,94.0,163.2999999999999,4796.5,9449.199999999992
5,read_sample,q4,250,1.0,94.0,148.39999999999986,4687.0,8838.85
6,read_sample,q1,250,1.0,107.0,233.64999999999995,5539.0,11234.699999999988
6,read_sample,q2,250,1.0,101.5,172.94999999999985,5445.5,9397.949999999997
6,read_sample,q3,250,1.0,101.0,157.19999999999993,5533.5,9981.049999999996
6,read_sample,q4,250,1.0,102.0,168.49999999999983,5646.5,10723.149999999998
7,read_sample,q1,250,1.0,118.0,316.2499999999998,6180.0,15892.249999999984
7,read_sample,q2,250,1.0,106.0,177.5999999999998,5978.0,12926.25
7,read_sample,q3,250,1.0,110.5,191.09999999999997,6291.5,12256.3
7,read_sample,q4,250,1.0,108.0,178.19999999999993,6066.5,11841.149999999996
8,read_sample,q1,250,1.0,126.0,279.7499999999999,6926.5,13373.69999999999
8,read_sample,q2,250,1.0,118.0,202.09999999999997,7134.5,14814.699999999988
8,read_sample,q3,250,1.0,115.0,184.19999999999993,6774.0,14058.199999999983
8,read_sample,q4,250,1.0,120.0,209.39999999999986,7134.0,16734.7
9,read_sample,q1,250,1.0,137.0,341.19999999999993,7802.0,16342.749999999993
9,read_sample,q2,250,1.0,122.0,185.74999999999991,7458.5,12394.599999999993
9,read_sample,q3,250,1.0,127.0,206.19999999999993,7771.0,14411.549999999997
