Epoch,95thPercentileLatency(us),AverageLatency(us),99thPercentileLatency(us),Throughput(ops/sec),Runtime(ms)
1,61,44.88545,127,20157.226365652084,4961
2,82,56.20376,167,16321.201240411294,6127
3,85,62.66427,187,14762.326542663124,6774
4,100,72.1172,212,12958.403524685758,7717
5,108,77.15303,224,12180.26796589525,8210
6,114,83.94469,252,11290.504685559445,8857
7,126,89.9453,282,10538.518284329224,9489
8,132,96.64566,283,9856.100926473488,10146
9,145,100.98068,309,9421.518748822313,10614
10,147,103.14496,308,9250.693802035152,10810
11,157,112.2711,353,8525.149190110827,11730
12,164,114.99617,342,8341.675008341675,11988
13,172,118.75751,344,8067.769261799112,12395
14,186,128.28292,389,7503.001200480192,13328
15,189,128.57268,373,7490.63670411985,13350
16,197,134.95684,402,7143.367383384528,13999
17,198,135.66122,406,7111.363959607453,14062
18,211,149.52975,431,6460.783046905285,15478
19,222,153.48552,464,6300.0063000063,15873
20,224,156.27624,466,6205.013651030033,16116
21,221,155.51826,468,6234.025310142759,16041
22,231,158.05774,490,6121.824303642486,16335
23,246,163.19806,504,5938.242280285036,16840
24,244,166.15389,507,5834.986579530867,17138
25,250,172.24326,530,5638.88575617458,17734
26,264,174.83486,548,5562.044607597753,17979
27,271,183.82509,562,5299.136240792751,18871
28,273,185.84764,555,5231.219920485457,19116
29,286,191.31055,584,5093.205663644698,19634
30,285,196.83973,594,4819.5093739457325,20749
31,298,204.31199,602,4784.460073680685,20901
32,308,206.25986,647,4723.219346306442,21172
33,313,214.66556,623,4556.431402925229,21947
34,308,208.72873,615,4689.331770222743,21325
35,318,217.27243,637,4490.950734270445,22267
36,329,226.03581,718,4329.379167027449,23098
37,331,227.48383,673,4305.519676224921,23226
38,339,228.0929,704,4295.163645734902,23282
39,344,237.13518,704,4128.989636236013,24219
40,349,243.64771,754,4025.7648953301127,24840
41,345,247.30313,773,3973.7730975561294,25165
42,364,245.02061,744,4005.286978812032,24967
43,371,262.83725,853,3738.597278301181,26748
44,370,259.82519,762,3776.577665319687,26479
45,375,252.62004,811,3885.003885003885,25740
46,374,261.13756,787,3759.963904346518,26596
47,489,295.58019,1509,3326.458652118954,30062
48,516,295.33509,1524,3333.888981496916,29995
49,495,296.75201,1369,3315.7598063596274,30159
50,462,294.35556,1456,3344.929087503345,29896
51,406,278.46679,951,3530.0762496469924,28328
52,405,276.82237,864,3548.741970971291,28179
53,470,309.07869,1574,3187.9622545269062,31368
54,415,293.67203,922,3353.4540576794097,29820
55,480,310.46865,1251,3171.48203355428,31531
56,448,302.94276,1112,3248.124208269724,30787
57,631,332.67123,1623,2961.734391659756,33764
58,622,329.78037,1655,2987.750224081267,33470
59,808,384.82502,2663,2567.525932011913,38948
60,791,382.53321,2647,2581.577860388269,38736
61,579,339.54534,1845,2905.4564472078564,34418
62,510,328.39775,1325,3002.3718737802865,33307
63,521,344.23368,1609,2864.1805579423726,34914
64,498,332.71514,1206,2960.6821411653245,33776
65,491,334.36429,1164,2942.2148993762503,33988
66,679,372.91577,2349,2645.8526260087315,37795
67,649,372.88806,2077,2648.4453625721703,37758
68,781,397.61235,2829,2485.398285075183,40235
69,779,401.15811,2647,2462.6295958824835,40607
70,956,449.6903,3473,2199.300622402076,45469
71,1133,490.38705,4167,2018.4893625610596,49542
72,1089,479.4381,3953,2065.3049422747267,48419
73,1106,483.96552,3939,2043.861262697488,48927
74,799,423.24918,2951,2336.066531174808,42807
75,754,408.67975,2843,2417.911891290681,41358
76,637,397.03066,1992,2489.4199651481204,40170
77,833,442.0864,3029,2238.388360380526,44675
78,839,440.15577,3243,2246.4337863641467,44515
79,881,451.90164,3333,2190.8684602576463,45644
80,911,469.89196,3505,2104.7757361453137,47511
81,1004,482.6785,3475,2051.7871065698223,48738
82,1502,569.22258,5071,1741.9781904330555,57406
83,1627,617.82995,5675,1605.1879675109956,62298
84,2033,629.11452,5907,1576.218022476869,63443
85,1434,539.6994,4855,1835.6707540935456,54476
86,1700,636.50027,5695,1558.7735569653796,64153
87,667,463.96935,1961,2133.424359439336,46873
88,898,501.64606,3555,1973.8660139749716,50662
89,730,455.39864,2235,2171.929976977542,46042
90,696,480.83269,1678,2057.994278775905,48591
91,713,513.73591,1844,1928.4543438434096,51855
92,790,510.73487,2149,1937.3837569745813,51616
93,1044,594.92965,4919,1666.444474070124,60008
94,1049,614.30505,5019,1612.9292407942064,61999
95,1552,646.8439,5375,1533.6952854206927,65202
96,1472,628.91948,5103,1578.5070480339696,63351
97,2981,796.23395,7167,1247.116044147908,80185
98,1208,624.78596,4639,1587.3519794279184,62998
99,1090,668.4312,5755,1484.6707742558087,67355
100,851,583.62367,3241,1697.3029855559516,58917
