lag_epochs,pearson_corr,spearman_corr
0,0.13800740093265546,-0.13190900086351887
1,0.03323587515783457,-0.1286645659837011
2,0.10434404983708978,-0.10210978219356011
3,0.11047233811760447,-0.07906513863883406
4,0.12536777969889235,-0.08727478972093812
5,-0.0026856709989506755,-0.10150233381435979
6,0.017560509358729454,-0.08675084603441831
7,-0.022215501567345815,-0.12367376546849256
8,-0.08666641370096768,-0.1672789237422352
9,-0.096612928072519,-0.16558401472444131
10,-0.05568413830232934,-0.17154858556018712
11,-0.05716086373721761,-0.16335362777464613
12,-0.040435489933273866,-0.15940296030765747
13,0.036953295504037795,-0.1533877386512733
14,-0.007792975203048816,-0.15223202650105705
15,0.17767258049594972,-0.11634859429417305
