feature,standardized_coefficient_us,abs_coefficient
p95_lag1_us,55.29177182031763,55.29177182031763
p95_lag2_us,44.16591204728023,44.16591204728023
delta_toast_total_gib_lag4,30.812192461745926,30.812192461745926
delta_toast_total_gib,28.7861926077454,28.7861926077454
delta_toast_total_gib_lag0,28.7861926077454,28.7861926077454
delta_toast_total_gib_lag9,-27.995962852508924,27.995962852508924
delta_temp_mib,25.592227312462477,25.592227312462477
delta_blks_read_m,24.83130648874096,24.83130648874096
p95_roll3_us,24.754179345995937,24.754179345995937
pct_rows_gt_128k,22.369620465149204,22.369620465149204
delta_toast_total_gib_lag8,-21.777835703309044,21.777835703309044
delta_toast_mean_prev5_gib,18.284488112188935,18.284488112188935
delta_toast_total_gib_lag5,-18.261273521491255,18.261273521491255
delta_toast_sum_prev10_gib,-17.613404457054422,17.613404457054422
delta_toast_sum_prev5_gib,16.984684108106993,16.984684108106993
delta_toast_mean_prev10_gib,-16.934128379097885,16.934128379097885
delta_toast_total_gib_lag10,-14.506283748952427,14.506283748952427
delta_wal_gib,13.729769752559651,13.729769752559651
delta_toast_total_gib_lag7,-13.181612036927891,13.181612036927891
toast_total_gib_lag10,12.96437528333568,12.96437528333568
delta_toast_mean_prev3_gib,12.617335408731252,12.617335408731252
toast_total_gib_lag0,12.377156584887375,12.377156584887375
toast_total_gib,12.377156584887375,12.377156584887375
delta_toast_sum_prev3_gib,12.242885904537488,12.242885904537488
value_p95_kib,12.215114370499656,12.215114370499656
value_max_mib,12.205563184367815,12.205563184367815
Epoch,12.17041748588156,12.17041748588156
value_p99_kib,11.971825648692276,11.971825648692276
delta_buffers_alloc_m,11.755835898483177,11.755835898483177
toast_total_gib_lag9,11.658310587186756,11.658310587186756
delta_toast_total_gib_lag3,11.388128538566683,11.388128538566683
toast_total_gib_lag2,11.337970329842193,11.337970329842193
toast_total_gib_lag1,11.101543730718191,11.101543730718191
delta_toast_total_gib_lag2,10.891439993847477,10.891439993847477
toast_total_gib_lag3,10.883345448093324,10.883345448093324
toast_total_gib_lag8,10.649930953541283,10.649930953541283
toast_total_gib_lag4,10.41531986989932,10.41531986989932
delta_blks_hit_m,10.051506742597592,10.051506742597592
toast_total_gib_lag7,10.023251731677018,10.023251731677018
toast_total_gib_lag6,9.930632229477435,9.930632229477435
toast_total_gib_lag5,9.097076518395331,9.097076518395331
delta_toast_mean_prev2_gib,4.959289706089006,4.959289706089006
delta_toast_sum_prev2_gib,4.8386008870459705,4.8386008870459705
delta_toast_total_gib_lag1,-4.791310921164914,4.791310921164914
delta_toast_lag1_gib,-4.791310921164914,4.791310921164914
delta_toast_sum_prev8_gib,-2.227838924942021,2.227838924942021
delta_toast_total_gib_lag6,-1.0362014884719617,1.0362014884719617
delta_toast_mean_prev8_gib,-0.5521707042391912,0.5521707042391912
vacuum_lag1_seconds,0.0,0.0
vacuum_seconds,0.0,0.0
