model,group,phase,epoch_range,mae_us,rmse_us
gradient_boosting,1,test,11-15,31.948468201050368,34.232216088528915
gradient_boosting,1,validate,16-20,70.11644034115758,71.0665993278907
gradient_boosting,2,test,31-35,26.508769869459627,27.344092093059203
gradient_boosting,2,validate,36-40,55.79030016302124,56.31351495211559
gradient_boosting,3,test,51-55,52.32321642389205,62.855679912443044
gradient_boosting,3,validate,56-60,191.07202944472425,218.36324953364885
gradient_boosting,4,test,71-75,176.64931948450112,184.70892727813327
gradient_boosting,4,validate,76-80,69.86701686672077,116.71158859069064
gradient_boosting,5,test,91-95,183.04477922570283,297.739850150111
gradient_boosting,5,validate,96-100,510.5969284285922,800.1293794519802
ridge,1,test,11-15,37.57592642327929,41.61901898388602
ridge,1,validate,16-20,46.07588111551778,49.788168944783585
ridge,2,test,31-35,5.070172956427257,5.272862417207102
ridge,2,validate,36-40,8.56933037150668,9.267225687970429
ridge,3,test,51-55,72.473399448658,88.62171799223535
ridge,3,validate,56-60,121.78571731538902,123.07271625146824
ridge,4,test,71-75,293.5712642656949,399.98876370756824
ridge,4,validate,76-80,704.5011222340534,705.055661520213
ridge,5,test,91-95,860.5534379780913,1052.1892954072741
ridge,5,validate,96-100,2254.3844020920915,2520.354761344887
