feature,standardized_coefficient_us,abs_coefficient
delta_extend_wal_bytes,-1546.3965708100864,1546.3965708100864
delta_main_tup_returned,-1468.0843658468443,1468.0843658468443
delta_main_tup_fetched,-1432.0193429222807,1432.0193429222807
db_n_tup_hot_upd,952.2507433897997,952.2507433897997
main_Runtime(ms),844.5119029894674,844.5119029894674
pct_gt_128k_lag2,777.464256485201,777.464256485201
p95_roll8_mean_us,696.5835489109857,696.5835489109857
delta_main_tup_inserted,659.1916133459235,659.1916133459235
delta_extend_tup_inserted,659.0210650906722,659.0210650906722
delta_main_tup_deleted,650.184803607447,650.184803607447
delta_extend_tup_deleted,650.0142555137584,650.0142555137584
delta_db_wal_bytes_gib_lag3,-641.8140788948149,641.8140788948149
delta_db_wal_bytes_lag3,-641.8140788948149,641.8140788948149
delta_main_checkpoints_req,588.3176325578065,588.3176325578065
extend_wal_buffers_full,-542.2613098141305,542.2613098141305
main_checkpoint_write_time,-540.1050130269477,540.1050130269477
delta_extend_checkpoints_req,-530.0702898774427,530.0702898774427
delta_main_wal_bytes,466.1004254336845,466.1004254336845
delta_db_wal_bytes_gib,466.0228931307945,466.0228931307945
delta_db_wal_bytes,466.0228931307945,466.0228931307945
main_wal_buffers_full,-455.4651771252342,455.4651771252342
value_p99_kib_lag2,-448.1166709156978,448.1166709156978
est_toast_chunks_p99_lag2,-448.1166709156978,448.1166709156978
extend_Runtime(ms),380.15405879249903,380.15405879249903
delta_db_wal_bytes_gib_lag2,372.5727068614566,372.5727068614566
delta_db_wal_bytes_lag2,372.5727068614566,372.5727068614566
p95_roll8_max_us,-355.46045269224123,355.46045269224123
delta_extend_tup_fetched,336.1946739532361,336.1946739532361
delta_db_wal_records,-309.49071848026966,309.49071848026966
delta_main_wal_records,-309.37286777136757,309.37286777136757
delta_extend_tup_returned,299.771122324779,299.771122324779
p95_roll3_max_us,-271.25100651320383,271.25100651320383
main_wal_fpi,267.40379940021216,267.40379940021216
pct_gt_128k_lag3,-267.36035129782766,267.36035129782766
delta_db_wal_bytes_lag1,252.85832965946815,252.85832965946815
delta_db_wal_bytes_gib_lag1,252.85832965946815,252.85832965946815
db_toast_heap_bytes,241.637294365591,241.637294365591
db_toast_heap_bytes_gib,241.637294365591,241.637294365591
extend_checkpoint_write_time,-241.2318639337215,241.2318639337215
pct_gt_128k,-239.85753967178516,239.85753967178516
p95_roll5_max_us,229.89062507075948,229.89062507075948
extend_blks_hit,228.99459231418376,228.99459231418376
delta_extend_checkpoint_write_time,197.91803814725938,197.91803814725938
db_blks_hit,193.74008370935184,193.74008370935184
main_blks_hit,189.168190092967,189.168190092967
pct_gt_256k,-178.48504070661977,178.48504070661977
p95_roll10_max_us,-167.84868124790034,167.84868124790034
db_toast_total_bytes_lag1,-164.84609798238307,164.84609798238307
db_toast_total_bytes_gib_lag1,-164.84609798238307,164.84609798238307
db_toast_heap_bytes_gib_lag1,159.43955137451826,159.43955137451826
db_toast_heap_bytes_lag1,159.43955137451826,159.43955137451826
db_toast_heap_bytes_gib_lag2,-146.53266695916108,146.53266695916108
db_toast_heap_bytes_lag2,-146.53266695916108,146.53266695916108
db_toast_total_bytes_lag2,141.0658094160426,141.0658094160426
db_toast_total_bytes_gib_lag2,141.0658094160426,141.0658094160426
db_toast_total_bytes,-125.14742132690873,125.14742132690873
db_heap_total_bytes_gib,-125.14742132690873,125.14742132690873
db_toast_total_bytes_gib,-125.14742132690873,125.14742132690873
db_heap_total_bytes,-125.14742132690873,125.14742132690873
p95_lag5_us,-123.26752568146611,123.26752568146611
p95_lag1_us,120.6457176918928,120.6457176918928
p95_roll5_mean_us,-117.48046093425143,117.48046093425143
value_p99_kib_lag1,-113.93475691058495,113.93475691058495
est_toast_chunks_p99_lag1,-113.93475691058495,113.93475691058495
pct_gt_128k_lag1,103.63513798258282,103.63513798258282
main_Throughput(ops/sec),91.61621922733994,91.61621922733994
p95_lag3_us,86.53590211667358,86.53590211667358
p95_lag2_us,-62.81704661761654,62.81704661761654
p95_roll3_mean_us,55.429968378171225,55.429968378171225
extend_tup_returned,52.17462155806817,52.17462155806817
extend_tup_fetched,50.56520386517775,50.56520386517775
extend_buffers_checkpoint,43.58808937781862,43.58808937781862
pct_gt_64k,-42.035019760217324,42.035019760217324
main_buffers_checkpoint,40.26603736187167,40.26603736187167
p95_roll10_mean_us,-35.598704607013076,35.598704607013076
main_tup_inserted,27.168189111030074,27.168189111030074
extend_tup_inserted,27.166449663375943,27.166449663375943
main_tup_deleted,27.027795638770783,27.027795638770783
extend_tup_deleted,27.026055351376783,27.026055351376783
main_tup_returned,26.903464943907636,26.903464943907636
main_tup_fetched,25.214020592605777,25.214020592605777
db_autovacuum_count,23.665827259408786,23.665827259408786
extend_checkpoints_req,-22.700561592369354,22.700561592369354
extend_wal_bytes,-17.494056324811936,17.494056324811936
main_checkpoints_req,-17.358461341922634,17.358461341922634
main_wal_records,15.483349765219032,15.483349765219032
db_wal_records,15.481998769653728,15.481998769653728
db_wal_bytes,-14.971227189616513,14.971227189616513
db_wal_bytes_gib,-14.971227189616513,14.971227189616513
main_wal_bytes,-14.969544899598532,14.969544899598532
extend_wal_records,14.189055769361175,14.189055769361175
extend_wal_fpi,-0.7994143384000267,0.7994143384000267
