feature,standardized_coefficient_us,abs_coefficient
p95_lag1_us,69.97682716425722,69.97682716425722
p95_lag2_us,51.33068510318827,51.33068510318827
delta_toast_total_gib,39.94049730032925,39.94049730032925
delta_temp_mib,35.86986588802871,35.86986588802871
delta_blks_read_m,32.245883965344156,32.245883965344156
p95_roll3_us,30.753744345798168,30.753744345798168
pct_rows_gt_128k,29.516171695714814,29.516171695714814
toast_total_gib,21.270997187466307,21.270997187466307
delta_wal_gib,21.252515069054837,21.252515069054837
value_max_mib,19.622969505942464,19.622969505942464
Epoch,19.584992815440952,19.584992815440952
value_p95_kib,19.55737223453752,19.55737223453752
delta_buffers_alloc_m,19.392997559564073,19.392997559564073
value_p99_kib,19.335900350813503,19.335900350813503
delta_blks_hit_m,18.263405244933345,18.263405244933345
delta_toast_lag1_gib,2.7514570318812286,2.7514570318812286
vacuum_seconds,0.0,0.0
vacuum_lag1_seconds,0.0,0.0
