feature,standardized_coefficient_us,abs_coefficient
delta_main_tup_fetched,-1977.1063777198287,1977.1063777198287
delta_main_tup_returned,-1871.2515625539381,1871.2515625539381
delta_extend_wal_bytes,-1229.2001246126529,1229.2001246126529
db_n_tup_hot_upd,1125.0761028296129,1125.0761028296129
main_Runtime(ms),1021.7257542102634,1021.7257542102634
p95_roll8_mean_us,958.9171156794764,958.9171156794764
delta_main_checkpoints_req,908.4716605529484,908.4716605529484
delta_db_wal_bytes_gib_lag3,-890.4557615756694,890.4557615756694
delta_db_wal_bytes_lag3,-890.4557615756694,890.4557615756694
main_wal_buffers_full,-887.8518989172935,887.8518989172935
db_toast_heap_bytes_gib,800.1844042891007,800.1844042891007
db_toast_heap_bytes,800.1844042891007,800.1844042891007
pct_gt_128k_lag2,787.2134089020728,787.2134089020728
p95_roll3_mean_us,771.029670379583,771.029670379583
delta_extend_tup_returned,705.7985226040182,705.7985226040182
main_wal_fpi,674.781258516472,674.781258516472
delta_extend_tup_fetched,604.9356773079744,604.9356773079744
p95_roll10_mean_us,-561.9701676889417,561.9701676889417
delta_extend_checkpoints_req,-553.7393345177661,553.7393345177661
delta_extend_tup_inserted,516.2054324502187,516.2054324502187
delta_main_tup_inserted,507.52741409773444,507.52741409773444
est_toast_chunks_p99_lag2,-447.2032750017388,447.2032750017388
value_p99_kib_lag2,-447.2032750017388,447.2032750017388
delta_extend_tup_deleted,446.83403615049065,446.83403615049065
delta_main_tup_deleted,438.15724424855944,438.15724424855944
pct_gt_128k_lag3,-422.54936000235466,422.54936000235466
db_toast_heap_bytes_lag1,393.27324989043336,393.27324989043336
db_toast_heap_bytes_gib_lag1,393.27324989043336,393.27324989043336
db_toast_total_bytes_gib,-367.73192520576777,367.73192520576777
db_toast_total_bytes,-367.73192520576777,367.73192520576777
extend_Runtime(ms),365.87210159317874,365.87210159317874
db_heap_total_bytes_gib,-361.68687045595107,361.68687045595107
db_heap_total_bytes,-361.68687045595107,361.68687045595107
delta_db_wal_bytes_lag2,357.85379280627785,357.85379280627785
delta_db_wal_bytes_gib_lag2,357.85379280627785,357.85379280627785
db_toast_total_bytes_lag1,-309.9176700658063,309.9176700658063
db_toast_total_bytes_gib_lag1,-309.9176700658063,309.9176700658063
p95_lag2_us,-292.12563026269345,292.12563026269345
p95_roll10_max_us,-283.0951294951301,283.0951294951301
extend_wal_fpi,282.23343951107745,282.23343951107745
extend_wal_buffers_full,278.17866641673754,278.17866641673754
delta_db_wal_bytes_lag1,272.07960320443635,272.07960320443635
delta_db_wal_bytes_gib_lag1,272.07960320443635,272.07960320443635
delta_main_wal_records,249.3823143231093,249.3823143231093
delta_db_wal_records,248.92467841154212,248.92467841154212
main_tup_fetched,-229.97288734629,229.97288734629
db_autovacuum_count,224.71934963134117,224.71934963134117
main_tup_returned,-223.58504647266636,223.58504647266636
delta_extend_checkpoint_write_time,200.01236767545197,200.01236767545197
p95_lag3_us,-192.63088939849695,192.63088939849695
extend_tup_fetched,-175.89926105406266,175.89926105406266
p95_roll8_max_us,-173.19706744114956,173.19706744114956
extend_tup_returned,-169.8262206251311,169.8262206251311
extend_buffers_checkpoint,168.2288103488754,168.2288103488754
p95_roll3_max_us,-157.36743981316977,157.36743981316977
p95_lag1_us,-150.14472302730337,150.14472302730337
p95_roll5_mean_us,-135.61475775148938,135.61475775148938
pct_gt_128k,-131.8528729171303,131.8528729171303
pct_gt_128k_lag1,-126.63958263465247,126.63958263465247
delta_main_wal_bytes,113.11507206094939,113.11507206094939
delta_db_wal_bytes,113.01184084306442,113.01184084306442
delta_db_wal_bytes_gib,113.01184084306442,113.01184084306442
extend_wal_records,-112.47267400384226,112.47267400384226
main_tup_deleted,-109.51549291693664,109.51549291693664
extend_tup_deleted,-109.42431444159956,109.42431444159956
main_wal_records,-103.9297112212571,103.9297112212571
db_wal_records,-103.9239304963703,103.9239304963703
main_tup_inserted,-103.87238875216644,103.87238875216644
extend_tup_inserted,-103.78270158260784,103.78270158260784
pct_gt_64k,87.33803190869367,87.33803190869367
est_toast_chunks_p99_lag1,83.93135068750598,83.93135068750598
value_p99_kib_lag1,83.93135068750598,83.93135068750598
main_checkpoints_req,61.245903090828506,61.245903090828506
db_blks_hit,61.05418894551076,61.05418894551076
p95_lag5_us,-53.47235379075937,53.47235379075937
extend_wal_bytes,-51.76932480515825,51.76932480515825
p95_roll5_max_us,50.87605703341251,50.87605703341251
extend_blks_hit,-50.56110477838047,50.56110477838047
main_checkpoint_write_time,48.935821500410384,48.935821500410384
extend_checkpoint_write_time,47.894330233895744,47.894330233895744
main_blks_hit,46.65605483653235,46.65605483653235
main_Throughput(ops/sec),42.6133731139098,42.6133731139098
db_wal_bytes_gib,-39.72004919005849,39.72004919005849
db_wal_bytes,-39.72004919005849,39.72004919005849
main_wal_bytes,-39.71994398543029,39.71994398543029
pct_gt_256k,32.61064493752201,32.61064493752201
db_toast_total_bytes_gib_lag2,30.620453627016104,30.620453627016104
db_toast_total_bytes_lag2,30.620453627016104,30.620453627016104
extend_checkpoints_req,-17.046777015359112,17.046777015359112
main_buffers_checkpoint,15.678481802548049,15.678481802548049
db_toast_heap_bytes_gib_lag2,-11.286975638595322,11.286975638595322
db_toast_heap_bytes_lag2,-11.286975638595322,11.286975638595322
