Epoch,p95_us,avg_us,size_mean_kib,size_p50_kib,size_p75_kib,size_p90_kib,size_p95_kib,size_p99_kib,size_max_mib,pct_gt_32k,pct_gt_64k,pct_gt_128k,pct_gt_256k
1,61,44.88545,1.953125,1.66015625,1.953125,2.24609375,2.543945312499929,4.296875,0.3815650939941406,0.19,0.06,0.03,0.01
2,82,56.20376,2.9296875,2.34375,2.734375,3.3203125,4.00390625,7.51953125,0.756072998046875,0.32,0.19,0.06,0.03
3,85,62.66427,3.90625,3.02734375,3.61328125,4.4042968750000355,5.473632812499929,10.743164062500021,1.1168479919433594,0.48,0.22999999999999998,0.1,0.05
4,100,72.1172,4.8828125,3.7109375,4.39453125,5.56640625,6.93359375,14.0625,1.4716148376464844,0.5499999999999999,0.29,0.18,0.06
5,108,77.15303,5.859375,4.296875,5.2734375,6.640625,8.3984375,17.3828125,1.8353462219238281,0.59,0.41000000000000003,0.22,0.08
6,114,83.94469,6.8359375,4.98046875,6.0546875,7.71484375,9.86328125,20.802734375000043,2.1973609924316406,0.66,0.48,0.22999999999999998,0.1
7,126,89.9453,7.8125,5.6640625,6.93359375,8.7890625,11.328125,23.831054687500064,2.5605201721191406,0.76,0.54,0.22999999999999998,0.12
8,132,96.64566,8.7890625,6.34765625,7.71484375,9.9609375,12.79296875,27.24707031250002,2.9277801513671875,0.7799999999999999,0.5499999999999999,0.29,0.18
9,145,100.98068,9.765625,6.93359375,8.59375,11.03515625,14.2578125,30.177734375000043,3.294086456298828,0.9400000000000001,0.58,0.38,0.22
10,147,103.14496,10.7421875,7.6171875,9.375,12.109375,15.8203125,33.40039062500004,3.6576271057128906,1.0699999999999998,0.59,0.41000000000000003,0.22
11,157,112.2711,11.71875,8.30078125,10.25390625,13.28125,17.28515625,37.3046875,4.026889801025391,1.4000000000000001,0.59,0.43,0.22
12,164,114.99617,12.6953125,8.88671875,11.03515625,14.35546875,18.75,40.04101562500004,4.3880462646484375,1.66,0.64,0.47000000000000003,0.22999999999999998
13,172,118.75751,13.671875,9.5703125,11.9140625,15.4296875,20.21484375,43.1640625,4.760837554931641,1.9900000000000002,0.7000000000000001,0.52,0.22999999999999998
14,186,128.28292,14.6484375,10.25390625,12.6953125,16.50390625,21.6796875,47.16894531250002,5.126476287841797,2.3800000000000003,0.74,0.54,0.22999999999999998
15,189,128.57268,15.625,10.83984375,13.57421875,17.578125,23.14941406249993,50.20117187500013,5.497550964355469,2.87,0.7799999999999999,0.5499999999999999,0.25
16,197,134.95684,16.6015625,11.5234375,14.35546875,18.65234375,24.51171875,53.51660156250002,5.867862701416016,3.11,0.7799999999999999,0.5499999999999999,0.27999999999999997
17,198,135.66122,17.578125,12.20703125,15.234375,19.7265625,25.87890625,56.64257812500004,6.229686737060547,3.39,0.8,0.5599999999999999,0.33
