feature,peak_mean,local_nonpeak_mean,late_nonpeak_mean,peak_minus_local,peak_vs_local_z,peak_minus_late_nonpeak,peak_vs_late_nonpeak_z,abs_local_z
vacuum_seconds_vs_prev,38.8,-0.55,6.035714285714286,39.349999999999994,1.5814216309785365,32.76428571428571,1.3732071249705968,1.5814216309785365
delta_db_wal_bytes_gib_vs_next,-0.15886535812169314,-0.6006893326062709,-0.4834298796319802,0.4418239744845778,1.3679140024032392,0.32456452151028703,1.0789609554332322,1.3679140024032392
delta_extend_MinLatency(us),-16.6,2.05,1.2142857142857142,-18.650000000000002,-1.2440315692183415,-17.814285714285717,-1.0776259887152222,1.2440315692183415
p95_us_vs_next,490.8,-42.45,-52.785714285714285,533.25,1.2081080933470378,543.5857142857143,1.8971768595477614,1.2081080933470378
p95_us,1494.2,997.9,767.5178571428571,496.30000000000007,1.158640587306572,726.6821428571429,2.0565959350124148,1.158640587306572
p95_us_vs_prev,461.0,-51.25,-32.107142857142854,512.25,1.1198716184188138,493.10714285714283,1.546672844491714,1.1198716184188138
delta_extend_99thPercentileLatency(us),2374.4,976.0,1233.7142857142858,1398.4,1.0921758084219213,1140.6857142857143,0.750487244481847,1.0921758084219213
prev_peak_distance,9.8,5.05,5.053571428571429,4.750000000000001,1.0047988669126156,4.746428571428572,1.2760131412096962,1.0047988669126156
next_peak_distance,9.8,5.05,5.589285714285714,4.750000000000001,1.0047988669126156,4.210714285714286,1.2401769155150562,1.0047988669126156
delta_extend_checkpoints_timed,0.4,0.1,0.07142857142857142,0.30000000000000004,1.0,0.3285714285714286,1.275810451318027,1.0
delta_db_blks_read_vs_next,258860.8,-188017.75,-196356.82142857142,446878.55,0.9496041655968885,455217.6214285714,0.8667810905103558,0.9496041655968885
run_Runtime(ms)_vs_next,5465.0,-699.1,-1096.4642857142858,6164.1,0.9053287764368011,6561.464285714286,1.4375276264402115,0.9053287764368011
run_Runtime(ms)_vs_prev,5492.6,489.35,129.19642857142858,5003.25,0.8695274143821342,5363.403571428572,1.1221402871579682,0.8695274143821342
delta_run_AverageLatency(us),54.81906799999998,4.927192500000006,1.2927348214285723,49.891875499999976,0.8689529855309399,53.526333178571406,1.1210876240699685,0.8689529855309399
vacuum_seconds_vs_next,11.6,-13.8,-10.071428571428571,25.4,0.8681237029583184,21.67142857142857,0.8023928361920972,0.8681237029583184
delta_run_99thPercentileLatency(us),802.6,71.55,-26.357142857142858,731.0500000000001,0.8533133381300041,828.9571428571429,0.8427722963701233,0.8533133381300041
extend_Memory,77.08,69.42500000000001,70.45535714285714,7.654999999999987,0.8233473760311706,6.6246428571428595,0.726368189038714,0.8233473760311706
delta_extend_95thPercentileLatency(us),1280.0,452.0,619.4285714285714,828.0,0.7605618116377088,660.5714285714286,0.6466991441784419,0.7605618116377088
run_Throughput(ops/sec)_vs_prev,-190.79323429051925,-49.57927128151736,-26.387865700490455,-141.2139630090019,-0.7020649818450344,-164.4053685900288,-0.8653026219042148,0.7020649818450344
run_CPU,55.94,70.245,76.67678571428571,-14.305000000000007,-0.5959126308943274,-20.736785714285716,-0.8465558301007043,0.5959126308943274
run_Throughput(ops/sec)_vs_next,-128.4853999698843,20.159318399727635,53.05158767184969,-148.64471836961192,-0.5856402683916316,-181.536987641734,-0.9543073224551778,0.5856402683916316
delta_extend_MaxLatency(us),-91699.2,33305.6,10070.857142857143,-125004.79999999999,-0.5841322864819264,-101770.05714285714,-0.5208996512122901,0.5841322864819264
delta_db_checkpoint_write_time,1367312.8,1172652.4,1165104.125,194660.40000000014,0.5467125972892984,202208.67500000005,0.5567647764380445,0.5467125972892984
delta_run_checkpoints_timed,0.0,0.2,0.10714285714285714,-0.2,-0.5,-0.10714285714285714,-0.34641016151377546,0.5
delta_db_checkpoints_timed,0.0,0.2,0.10714285714285714,-0.2,-0.5,-0.10714285714285714,-0.34641016151377546,0.5
delta_extend_buffers_clean,94464.0,112185.65,103303.07142857143,-17721.649999999994,-0.4936059535717437,-8839.071428571435,-0.2605363679942399,0.4936059535717437
delta_db_wal_bytes_gib_vs_prev,0.582429969124496,0.4067493720445782,0.4538854970763038,0.1756805970799178,0.49124735345580256,0.12854447204819214,0.4016838103757603,0.49124735345580256
run_99thPercentileLatency(us),4285.6,3453.55,2570.9464285714284,832.0500000000002,0.4892687482968752,1714.653571428572,1.121876524845332,0.4892687482968752
delta_db_n_dead_tup,17.4,4.7,-1.4642857142857142,12.7,0.4479473983056188,18.864285714285714,0.4257132372865908,0.4479473983056188
delta_run_MaxLatency(us),7296.0,508.8,2043.4285714285713,6787.2,0.4261461446901311,5252.571428571428,0.132326200050345,0.4261461446901311
delta_run_buffers_clean,122241.2,108732.6,101246.35714285714,13508.599999999991,0.4243084665483449,20994.842857142852,0.6941455818137875,0.4243084665483449
run_Runtime(ms),52422.6,46888.1,42061.92857142857,5534.5,0.3976467155842191,10360.671428571426,0.836320847686274,0.3976467155842191
run_AverageLatency(us),519.179126,463.9420120000001,415.70575446428575,55.237113999999906,0.39711963358595753,103.47337153571425,0.8361155936805718,0.39711963358595753
extend_MaxLatency(us),663858.2,734898.2,678549.8571428572,-71040.0,-0.38968661850727326,-14691.657142857206,-0.07883959789960214,0.38968661850727326
delta_db_toast_total_bytes_gib_vs_prev,0.1665130615234375,-0.10971031188964844,-0.015654018947056363,0.27622337341308595,0.3891280880936513,0.18216708047049388,0.31189849545392356,0.3891280880936513
delta_db_buffers_clean,120757.2,108380.65,101131.21428571429,12376.550000000003,0.38815175057196155,19625.985714285707,0.6454020454223629,0.38815175057196155
delta_run_checkpoint_write_time,1324734.4,1183297.0,1167102.8392857143,141437.3999999999,0.3855662592660071,157631.5607142856,0.42468370543492384,0.3855662592660071
delta_db_blks_read_vs_prev,-12497.6,231527.0,173755.26785714287,-244024.6,-0.3675737214127217,-186252.86785714288,-0.33683621625298515,0.3675737214127217
pct_gt_128k_vs_next,-0.08400000000000007,-0.09800000000000003,-0.09392857142857143,0.013999999999999957,0.32152064852223633,0.009928571428571356,0.2220733482703313,0.32152064852223633
delta_db_toast_total_bytes_gib_lag1,0.2104095458984375,0.3598114013671875,0.2948211942400251,-0.14940185546874998,-0.30685254483001395,-0.08441164834158763,-0.21851846035516534,0.30685254483001395
delta_db_toast_heap_bytes_gib,0.3692535400390625,0.24159889221191405,0.2736701965332031,0.12765464782714847,0.29979595585793223,0.0955833435058594,0.2604230131010154,0.29979595585793223
delta_db_toast_heap_bytes,396482969.6,259414835.2,293851136.0,137068134.40000004,0.29979595585793223,102631833.60000002,0.2604230131010154,0.29979595585793223
delta_db_toast_total_bytes,404717568.0,268544000.0,299753472.0,136173568.0,0.29041108206446614,104964096.0,0.2618945641912033,0.29041108206446614
delta_db_heap_total_bytes_gib,0.376922607421875,0.25010108947753906,0.27916717529296875,0.12682151794433594,0.29041108206446614,0.09775543212890625,0.2618945641912033,0.29041108206446614
delta_db_heap_total_bytes,404717568.0,268544000.0,299753472.0,136173568.0,0.29041108206446614,104964096.0,0.2618945641912033,0.29041108206446614
db_toast_total_bytes_gib_vs_prev,0.376922607421875,0.25010108947753906,0.27916717529296875,0.12682151794433594,0.29041108206446614,0.09775543212890625,0.2618945641912033,0.29041108206446614
delta_db_toast_total_bytes_gib,0.376922607421875,0.25010108947753906,0.27916717529296875,0.12682151794433594,0.29041108206446614,0.09775543212890625,0.2618945641912033,0.29041108206446614
extend_MinLatency(us),426.2,435.9,432.85714285714283,-9.699999999999989,-0.27886806977884665,-6.657142857142844,-0.18818915064395642,0.27886806977884665
delta_extend_buffers_checkpoint,5409331.6,5168435.6,5147158.928571428,240896.0,0.27882463867860696,262172.67142857146,0.2832141132691171,0.27882463867860696
run_Throughput(ops/sec),2148.647668538933,2344.0281176531867,2591.6059632445135,-195.38044911425368,-0.26807748328693726,-442.95829470558056,-0.587817642828209,0.26807748328693726
delta_extend_AverageLatency(us),167.55760599999994,106.74788150000009,113.92424071428572,60.809724499999845,0.26637493619303243,53.63336528571422,0.2084818118451014,0.26637493619303243
delta_run_buffers_checkpoint,5383277.6,5162013.2,5151906.589285715,221264.39999999944,0.2662729111140458,231371.01071428508,0.25364683527910736,0.2662729111140458
delta_db_toast_total_bytes_gib_vs_next,0.1702239990234375,0.008120346069335937,-0.0034929003034319195,0.16210365295410156,0.26317013419701096,0.1737168993268694,0.301745339852881,0.26317013419701096
delta_db_buffers_checkpoint,5374069.8,5164084.85,5151558.196428572,209984.9500000002,0.24963819584816985,222511.603571428,0.2433291359961318,0.24963819584816985
vacuum_seconds,444.0,414.45,394.19642857142856,29.55000000000001,0.18908249943186434,49.803571428571445,0.31986061979000746,0.18908249943186434
run_MaxLatency(us),170789.4,162923.8,162033.2857142857,7865.600000000006,0.1873854676764092,8756.114285714284,0.16007863374518713,0.1873854676764092
delta_run_buffers_backend,5164024.0,4851051.7,4580567.428571428,312972.2999999998,0.17268668892374045,583456.5714285718,0.3347353579861374,0.17268668892374045
delta_db_buffers_backend,5163513.6,4850684.0,4580588.410714285,312829.5999999996,0.17259847646726945,582925.1892857142,0.3344587149557571,0.17259847646726945
delta_db_autovacuum_count,13.4,12.85,12.392857142857142,0.5500000000000007,0.14530397022103772,1.007142857142858,0.27207354821461427,0.14530397022103772
delta_db_blks_read_lead1,8064125.4,8455855.95,7875730.482142857,-391730.5499999989,-0.13197648452037952,188394.9178571431,0.06199281686466156,0.13197648452037952
extend_CPU,58.3,58.614999999999995,58.925000000000004,-0.3149999999999977,-0.13046778276219803,-0.6250000000000071,-0.3335451753206142,0.13046778276219803
delta_run_wal_buffers_full,23627.0,22876.55,22993.178571428572,750.4500000000007,0.11197349633231568,633.8214285714275,0.10412712995083225,0.11197349633231568
delta_extend_checkpoint_sync_time,73351.8,79036.4,68559.5,-5684.599999999991,-0.10847731010590422,4792.300000000003,0.10083575974734123,0.10847731010590422
extend_checkpoints_timed,690.2,690.0,689.75,0.20000000000004547,0.10846522890935274,0.4500000000000455,0.2947822106643403,0.10846522890935274
delta_db_blks_read_lag1,8335483.8,8036311.2,7736690.625,299172.5999999996,0.10402587480417781,598793.1749999998,0.20861633480666575,0.10402587480417781
delta_db_toast_total_bytes_gib_lead1,0.2066986083984375,0.24198074340820314,0.2821641649518694,-0.035282135009765625,-0.09947689022422676,-0.0754655565534319,-0.19773140206175546,0.09947689022422676
db_toast_total_bytes_gib_vs_next,-0.2066986083984375,-0.24198074340820314,-0.2821641649518694,0.035282135009765625,0.09947689022422676,0.0754655565534319,0.19773140206175546,0.09947689022422676
delta_extend_wal_buffers_full,23563.0,22917.0,22998.89285714286,646.0,0.09753243480167385,564.1071428571413,0.09349931375401939,0.09753243480167385
db_toast_index_bytes_gib,0.6081771850585938,0.6006393432617188,0.585827282496861,0.007537841796875,0.09019552422637882,0.02234990256173275,0.22355041487862332,0.09019552422637882
db_toast_index_bytes,653025280.0,644931584.0,629027254.8571428,8093696.0,0.09019552422637882,23998025.142857194,0.22355041487862332,0.09019552422637882
delta_extend_wal_fpi,6227450.2,6064653.2,5897190.839285715,162797.0,0.08735279373389014,330259.36071428563,0.18162159733661903,0.08735279373389014
delta_extend_buffers_backend,4747462.0,4907060.95,4554096.464285715,-159598.9500000002,-0.08266468041543465,193365.53571428545,0.1084940218278941,0.08266468041543465
delta_run_MinLatency(us),1.2,1.7,2.3392857142857144,-0.5,-0.08229964876230851,-1.1392857142857145,-0.15227857949563237,0.08229964876230851
delta_db_blks_hit,58700918.2,57800525.55,56596530.71428572,900392.650000006,0.08028896733373331,2104387.4857142866,0.18398432208479076,0.08028896733373331
delta_run_blks_hit,58712583.8,57814753.6,56613078.85714286,897830.1999999955,0.08002211899883194,2099504.942857139,0.1835661487127793,0.08002211899883194
delta_extend_tup_updated,100158.4,100155.1,100149.875,3.2999999999883585,0.07321429868424872,8.52499999999418,0.2023909451707538,0.07321429868424872
run_Throughput(ops/sec)_lag1,2339.440902829452,2393.6073889347035,2617.993828945004,-54.16648610525135,-0.06981179742917089,-278.55292611555205,-0.3564765790985289,0.06981179742917089
extend_95thPercentileLatency(us),39032.6,38201.4,36697.0,831.1999999999971,0.06914564614985945,2335.5999999999985,0.19859556560391828,0.06914564614985945
delta_run_tup_updated,100158.4,100155.65,100150.26785714286,2.75,0.06536645840800934,8.132142857139115,0.20034160461950362,0.06536645840800934
delta_extend_checkpoint_write_time,1225443.8,1201800.15,1167244.5357142857,23643.65000000014,0.0653016009428469,58199.264285714366,0.16052312962586263,0.0653016009428469
run_Throughput(ops/sec)_lead1,2277.1330685088174,2323.8687992534587,2508.2453936877364,-46.73573074464139,-0.06444684899751436,-231.11232517891904,-0.2827717553675655,0.06444684899751436
delta_extend_blks_read,8307326.0,8125790.65,7787515.857142857,181535.34999999963,0.06050045611884647,519810.1428571427,0.17778384685534612,0.06050045611884647
p95_us_lead1,1003.4,1040.35,805.1071428571429,-36.94999999999993,-0.058379316977420014,198.2928571428571,0.40828018175347447,0.058379316977420014
vacuum_seconds_lag1,405.2,415.0,388.1607142857143,-9.800000000000011,-0.05810199524491797,17.03928571428571,0.10590502862500299,0.05810199524491797
pct_gt_128k_vs_prev,0.09800000000000005,0.0955,0.09339285714285714,0.002500000000000044,0.057282375194651174,0.004607142857142907,0.10943310308859357,0.057282375194651174
extend_99thPercentileLatency(us),77426.2,76168.6,73479.0,1257.5999999999913,0.053813359033223866,3947.199999999997,0.17154703984890363,0.053813359033223866
delta_run_checkpoints_req,60.8,59.95,58.32142857142857,0.8499999999999943,0.05372139681745343,2.4785714285714278,0.1557922880145953,0.05372139681745343
delta_db_checkpoints_req,60.8,59.95,58.32142857142857,0.8499999999999943,0.05372139681745343,2.4785714285714278,0.15577031017245369,0.05372139681745343
run_MinLatency(us),173.6,175.6,171.5,-2.0,-0.05140318242841544,2.0999999999999943,0.052873678626158806,0.05140318242841544
delta_run_buffers_alloc,3162771.6,3122734.1,3031568.214285714,40037.5,0.051212127878198926,131203.385714286,0.16463696105053835,0.051212127878198926
extend_Runtime(ms),770972.4,760306.8,733338.9642857143,10665.599999999977,0.04830993407419735,37633.435714285704,0.17553810536878778,0.04830993407419735
extend_AverageLatency(us),7700.312656,7593.9246920000005,7324.086538928571,106.38796399999956,0.048183075067912653,376.22611707142914,0.17547032775855145,0.048183075067912653
delta_db_n_tup_hot_upd,99845.8,99828.9,99662.55357142857,16.90000000000873,0.04589880713717763,183.24642857143772,0.23010387364898724,0.04589880713717763
delta_run_wal_fpi,6201455.8,6127427.35,5993555.696428572,74028.45000000019,0.042483325728504266,207900.103571428,0.12218884672589368,0.042483325728504266
delta_db_wal_fpi,6201455.6,6127427.4,5993555.696428572,74028.19999999925,0.042483181856391335,207899.9035714278,0.12218872905189536,0.042483181856391335
run_Runtime(ms)_lead1,46957.6,47587.2,42106.30357142857,-629.5999999999985,-0.04170659675711001,4851.296428571426,0.33996915794994526,0.04170659675711001
delta_extend_buffers_alloc,3151217.8,3118536.6,3030343.625,32681.19999999972,0.041598497508837096,120874.17499999981,0.15130603278554122,0.041598497508837096
delta_extend_tup_deleted,10376120.2,10274074.2,10010540.767857144,102046.0,0.040922103459661775,365579.4321428556,0.14507136738507373,0.040922103459661775
delta_run_tup_deleted,10376120.2,10274074.3,10010540.785714285,102045.89999999851,0.04092206803407676,365579.4142857138,0.14507136286255845,0.04092206803407676
delta_extend_tup_inserted,10381321.2,10279274.55,10015769.607142856,102046.64999999851,0.04092109721543601,365551.5928571429,0.14505866960610608,0.04092109721543601
delta_run_tup_inserted,10381321.2,10279274.65,10015769.625,102046.54999999888,0.040921061790679766,365551.57499999925,0.14505866508263632,0.040921061790679766
delta_db_buffers_alloc,3152883.4,3121918.15,3032301.625,30965.25,0.03950974436617651,120581.7749999999,0.15106192814260427,0.03950974436617651
delta_extend_checkpoints_req,59.6,60.2,58.392857142857146,-0.6000000000000014,-0.03745905154382782,1.2071428571428555,0.07555888833949444,0.03745905154382782
delta_run_tup_returned,26255645.0,26033805.1,25379598.25,221839.8999999985,0.036270533533036116,876046.75,0.14188981422148264,0.036270533533036116
delta_run_tup_fetched,26165882.0,25945077.25,25291683.39285714,220804.75,0.03614950970341486,874198.6071428582,0.1417653308746293,0.03614950970341486
run_Runtime(ms)_lag1,46930.0,46398.75,41932.732142857145,531.25,0.03561030428064464,4997.267857142855,0.3805363594087217,0.03561030428064464
delta_run_wal_records,41548274.2,41204714.6,40171167.446428575,343559.6000000015,0.03501318525077628,1377106.7535714284,0.13901574290442686,0.03501318525077628
delta_db_wal_records,41548272.2,41204715.1,40171167.46428572,343557.1000000015,0.035012934120796244,1377104.7357142866,0.1390155475309103,0.035012934120796244
delta_db_toast_index_bytes_gib,0.00755767822265625,0.00843505859375,0.005420821053641183,-0.0008773803710937491,-0.03462735290623027,0.0021368571690150674,0.12148308329830904,0.03462735290623027
delta_db_toast_index_bytes,8114995.2,9057075.2,5820562.285714285,-942079.9999999991,-0.03462735290623027,2294432.9142857147,0.12148308329830904,0.03462735290623027
delta_extend_wal_bytes,33051931295.4,32767666889.85,31866730079.464287,284264405.55000305,0.032422996170465235,1185201215.9357147,0.1349664712754273,0.032422996170465235
delta_extend_tup_returned,26170995.8,25976179.95,25323458.964285713,194815.8500000015,0.03193226845476739,847536.835714288,0.13742617058964932,0.03193226845476739
delta_extend_tup_fetched,26081841.2,25887471.1,25235670.76785714,194370.09999999776,0.03190334133320221,846170.4321428575,0.13737767001942292,0.03190334133320221
delta_run_wal_bytes,33038131711.0,32780690332.15,31887381163.75,257441378.84999847,0.02944444926263845,1150750547.25,0.13132882896716097,0.02944444926263845
delta_db_wal_bytes,33038129862.6,32780690793.55,31887381164.69643,257439069.04999924,0.0294441874182099,1150748697.9035683,0.1313286226003038,0.0294441874182099
delta_db_wal_bytes_gib,30.769156164117156,30.5293973475229,29.697437924050195,0.23975881659425724,0.0294441874182099,1.0717182400669607,0.1313286226003038,0.0294441874182099
delta_extend_wal_records,41397508.6,41127133.85,40061839.321428575,270374.75,0.027294829252175294,1335669.2785714269,0.13410382912911606,0.027294829252175294
extend_Throughput(ops/sec),142.13615573481354,143.26243884592867,148.90499698954162,-1.1262831111151286,-0.027154879587233664,-6.768841254728073,-0.15225492001944288,0.027154879587233664
vacuum_seconds_lead1,432.4,428.25,392.94642857142856,4.149999999999977,0.026684661348775483,39.45357142857142,0.2435277360445781,0.026684661348775483
p95_us_lag1,1033.2,1049.15,799.625,-15.950000000000045,-0.025790490346653427,233.57500000000005,0.4956464871952861,0.025790490346653427
db_checkpoints_timed,690.2,690.15,689.8392857142857,0.05000000000006821,0.025229689602334116,0.3607142857143799,0.2222196673109321,0.025229689602334116
delta_db_wal_bytes_gib_lead1,30.92802152223885,31.13008668012917,29.391953403096913,-0.20206515789032053,-0.024545001203877488,1.5360681191419374,0.17255040562765042,0.024545001203877488
db_toast_total_bytes,21724880896.0,21607627571.2,20831729810.285713,117253324.79999924,0.02257090223580077,893151085.7142868,0.17217777497343026,0.02257090223580077
db_toast_total_bytes_gib,20.232872009277344,20.123671340942384,19.401060240609304,0.10920066833496023,0.02257090223580077,0.8318117686680395,0.17217777497343026,0.02257090223580077
db_heap_total_bytes_gib,20.275238037109375,20.166037368774415,19.443426268441335,0.10920066833496023,0.02257090223580077,0.8318117686680395,0.17217777497343026,0.02257090223580077
db_heap_total_bytes,21770371072.0,21653117747.2,20877219986.285713,117253324.79999924,0.02257090223580077,893151085.7142868,0.17217777497343026,0.02257090223580077
delta_run_blks_read,8332881.2,8268651.25,7909712.196428572,64229.950000000186,0.021890541186907187,423169.00357142836,0.14684626067287065,0.021890541186907187
db_toast_heap_bytes,21065829580.8,20956703948.8,20196923245.714287,109125632.0,0.02134841920813422,868906335.0857124,0.17080447069639837,0.02134841920813422
db_toast_heap_bytes_gib,19.619082641601562,19.51745147705078,18.809850556509836,0.10163116455078125,0.02134841920813422,0.8092320850917254,0.17080447069639837,0.02134841920813422
delta_extend_blks_hit,57851573.6,58101456.85,56614307.33928572,-249883.25,-0.020838373684825898,1237266.260714285,0.10537811063150512,0.020838373684825898
delta_db_checkpoint_sync_time,78053.0,76991.25,68592.19642857143,1061.75,0.020365297895467455,9460.803571428565,0.20098778034381734,0.020365297895467455
db_n_dead_tup,52.0,50.6,31.089285714285715,1.3999999999999986,0.019987684853446274,20.910714285714285,0.3984018648501612,0.019987684853446274
delta_db_blks_read,8322986.2,8267838.2,7910445.892857143,55148.0,0.018790446051806322,412540.30714285746,0.1431143698807403,0.018790446051806322
delta_db_temp_bytes_gib_vs_prev,0.00016112308949232102,0.00015753591433167457,0.0006926633650436997,3.5871751606464494e-06,0.01858710158849589,-0.0005315402755513787,-0.1610488161456047,0.01858710158849589
delta_run_checkpoint_sync_time,76493.6,77381.1,68590.53571428571,-887.5,-0.01685212177819017,7903.064285714296,0.16704316599087826,0.01685212177819017
db_toast_total_bytes_gib_lead1,20.43957061767578,20.365652084350586,19.18828582763672,0.0739185333251946,0.01521176523928639,1.2512847900390618,0.23308553747435856,0.01521176523928639
delta_db_temp_bytes_gib_vs_next,-0.0001564091071486473,-0.00015915893018245698,-0.0006930842563243848,2.7498230338096673e-06,0.014104874501070452,0.0005366751491757375,0.16260650873450408,0.014104874501070452
pct_gt_32k,89.022,88.8375,86.24214285714287,0.1844999999999999,0.00955517730162868,2.7798571428571393,0.12476561078840323,0.00955517730162868
extend_buffers_clean,571321437.6,571337767.9,571158941.7678572,-16330.299999952316,-0.008494681634364508,162495.8321428299,0.08582574658762396,0.008494681634364508
pct_gt_128k_lead1,3.7919999999999994,3.8054999999999994,3.488392857142857,-0.013500000000000068,-0.00802984888270009,0.3036071428571425,0.1843480770721393,0.00802984888270009
delta_db_wal_bytes_gib_lag1,30.186726194992662,30.122647975478323,29.24355242697389,0.06407821951433945,0.007872920154202072,0.9431737680187737,0.11567719543997948,0.007872920154202072
pct_gt_256k,0.992,0.99,0.9528571428571428,0.0020000000000000018,0.005968686845332202,0.039142857142857146,0.12608767204342491,0.005968686845332202
value_p99_kib,235.78222656250045,236.10483398437538,229.58494349888426,-0.3226074218749204,-0.005569291528566072,6.197283063616197,0.10647549617758953,0.005569291528566072
db_buffers_clean,571396563.0,571406656.45,571222482.2678572,-10093.450000047684,-0.005249108084324178,174080.73214280605,0.09171403365252385,0.005249108084324178
value_p95_kib,105.78515624999996,105.67187499999997,102.8899274553571,0.11328124999998579,0.004473418719526883,2.895228794642861,0.11298507416774868,0.004473418719526883
run_buffers_clean,571421169.4,571429550.5,571242759.4464285,-8381.100000023842,-0.004344207040053384,178409.9535714388,0.0937263497398778,0.004344207040053384
db_checkpoint_sync_time,175565889.2,175560367.6,175403126.69642857,5521.5999999940395,0.004262486484670041,162762.5035714209,0.1353852223148512,0.004262486484670041
run_wal_buffers_full,82207807.4,82209543.5,82167941.30357143,-1736.0999999940395,-0.004015341418849051,39866.09642857313,0.09122332635204061,0.004015341418849051
extend_wal_buffers_full,82207632.6,82209362.25,82167855.21428572,-1729.6500000059605,-0.0039989119414811,39777.385714277625,0.09100537847468856,0.0039989119414811
run_checkpoint_sync_time,175565889.2,175560757.45,175403892.30357143,5131.75,0.00395957341737686,161996.89642855525,0.13476067518569207,0.00395957341737686
db_toast_total_bytes_gib_lag1,19.85594940185547,19.873570251464844,19.121893065316335,-0.01762084960937571,-0.00355647480427304,0.7340563365391333,0.1499038182628839,0.00355647480427304
db_checkpoint_write_time,1247525035.4,1247463430.9,1245153318.8392856,61604.5,0.0028062680140174645,2371716.5607144833,0.1121169279190477,0.0028062680140174645
pct_gt_64k,24.346,24.3045,22.773928571428574,0.041499999999999204,0.0025538821091324877,1.5720714285714266,0.10115037030508296,0.0025538821091324877
run_checkpoint_write_time,1247525035.4,1247474075.5,1245166776.1785715,50959.90000009537,0.0023197029690107313,2358259.2214286327,0.11146434482856478,0.0023197029690107313
extend_buffers_backend,6886764135.0,6886951548.4,6877650886.267858,-187413.39999961853,-0.002197756056440805,9113248.732142448,0.11210982042401774,0.002197756056440805
value_p50_kib,47.59765625,47.57568359375,46.30824497767857,0.02197265625,0.0019402621850832637,1.2894112723214306,0.11306237710972776,0.0019402621850832637
extend_checkpoint_sync_time,175544809.8,175542634.2,175385647.07142857,2175.600000023842,0.0016859121126060561,159162.72857144475,0.13292032373575952,0.0016859121126060561
