peak_epoch,peak_marker,Epoch,p95_us,run_Runtime(ms),run_Throughput(ops/sec),db_toast_total_bytes_gib,delta_db_toast_total_bytes_gib,vacuum_seconds,pct_gt_128k,pct_gt_256k,delta_db_blks_read,delta_db_wal_bytes_gib,delta_db_temp_bytes_gib,db_autovacuum_count
48,,46,374,26596,3759.963904346518,12.816017150878906,7.62939453125e-06,169,1.38,0.6,4171836.0,18.576466317288578,0.0,218
48,,47,489,30062,3326.458652118954,13.78216552734375,0.9661483764648438,221,1.5,0.62,4346568.0,19.428650248795748,0.0,226
48,PEAK,48,516,29995,3333.888981496916,13.787406921386719,0.00524139404296875,195,1.58,0.63,4456605.0,19.622115953825414,0.0,235
48,,49,495,30159,3315.7598063596274,13.787406921386719,0.0,195,1.6099999999999999,0.64,4643015.0,20.163760161958635,0.0,244
48,,50,462,29896,3344.929087503345,13.997322082519531,0.2099151611328125,213,1.7000000000000002,0.64,4586778.0,20.202561437152326,0.0,253
59,,57,631,33764,2961.734391659756,16.183120727539062,0.8769912719726562,292,2.39,0.75,5349335.0,23.748428858816624,0.0,316
59,,58,622,33470,2987.750224081267,16.183120727539062,0.0,283,2.4899999999999998,0.75,6151028.0,24.24121388141066,0.0,326
59,PEAK,59,808,38948,2567.525932011913,16.201210021972656,0.01808929443359375,322,2.64,0.77,6027878.0,24.626225162297487,0.0,336
59,,60,791,38736,2581.577860388269,17.237960815429688,1.0367507934570312,331,2.74,0.77,5804250.0,24.869587382301688,0.0,346
59,,61,579,34418,2905.4564472078564,17.51598358154297,0.27802276611328125,337,2.78,0.7799999999999999,6292770.0,25.509885787032545,0.0,356
71,,69,779,40607,2462.6295958824835,19.33942413330078,0.0,363,3.34,0.8099999999999999,7907781.0,29.053651462309062,0.0,445
71,,70,956,45469,2199.300622402076,19.362869262695312,0.02344512939453125,381,3.39,0.8200000000000001,7888959.0,29.61786004062742,0.0,457
71,PEAK,71,1133,49542,2018.4893625610596,19.35901641845703,-0.00385284423828125,426,3.4099999999999997,0.8500000000000001,7522106.0,30.331774251535535,0.0,469
71,,72,1089,48419,2065.3049422747267,19.355758666992188,-0.00325775146484375,407,3.4799999999999995,0.88,7784989.0,30.582814302295446,0.0,481
71,,73,1106,48927,2043.861262697488,19.438095092773438,0.08233642578125,400,3.54,0.89,8037124.0,30.50383383501321,0.0,493
84,,82,1502,57406,1741.9781904330555,23.487228393554688,1.468017578125,539,4.43,1.0999999999999999,10907800.0,35.299558222293854,0.03248223289847374,615
84,,83,1627,62298,1605.1879675109956,23.549697875976562,0.062469482421875,541,4.4799999999999995,1.13,10995472.0,35.71628015674651,0.0328747546300292,631
84,PEAK,84,2033,63443,1576.218022476869,24.12793731689453,0.5782394409179688,578,4.569999999999999,1.15,11565872.0,36.547371443361044,0.03327823430299759,648
84,,85,1434,54476,1835.6707540935456,24.12793731689453,0.0,570,4.68,1.17,11279678.0,35.94415782392025,0.03365659341216087,664
84,,86,1700,64153,1558.7735569653796,24.12793731689453,0.0,552,4.859999999999999,1.22,11160775.0,37.04006861895323,0.03405097592622042,680
97,,95,1552,65202,1533.6952854206927,26.40190887451172,0.001190185546875,595,6.09,1.48,12372909.0,41.35435476806015,0.03760351985692978,835
97,,96,1472,63351,1578.5070480339696,26.401893615722656,-1.52587890625e-05,600,6.1899999999999995,1.52,12295392.0,41.929626647382975,0.037993560545146465,853
97,PEAK,97,2981,80185,1247.116044147908,27.68878936767578,1.286895751953125,699,6.34,1.5599999999999998,12042470.0,42.71829400956631,0.03839569631963968,872
97,,98,1208,62998,1587.3519794279184,27.68878936767578,0.0,659,6.45,1.59,10808695.0,43.079787940718234,0.038799382746219635,891
97,,99,1090,67355,1484.6707742558087,27.68878936767578,0.0,641,6.63,1.6400000000000001,12571610.0,43.725399057380855,0.039197176694869995,909
