database,run,scenario,requestdist_file,intensity,variant,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
neo4j,1,uniform_heavy,uniform,heavy,base,5002500.0,733.5587098676891,3206.1388616000004,4663.243333333333,6463.666666666667
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,5002500.0,303.4600960342115,3572.5110939606952,4858.108378885293,6111.592002398562
neo4j,1,uniform_light_dup,uniform,light,dup,3000500.0,679.3979579953545,3812.7478916,5517.73,7856.303333333333
neo4j,1,uniform_light_mixed,uniform,light,mixed,3000500.0,269.09351667969366,4268.765736807701,5731.844701757463,7950.506991702385
neo4j,1,zipfian_heavy,zipfian,heavy,base,5002500.0,737.7744050998335,3557.3943245333335,8089.303333333333,13767.199999999999
neo4j,1,zipfian_heavy_mixed,zipfian,heavy,mixed,5002500.0,307.6164634207538,3544.5668676696523,4803.439766486548,5919.537308418629
neo4j,1,zipfian_light,zipfian,light,base,3000500.0,680.9585192136584,4322.612395733334,6839.426666666666,9797.91
neo4j,1,zipfian_light_mixed,zipfian,light,mixed,3000500.0,275.12906550401254,4039.5099836267063,5489.055599589336,7171.944687946642
postgresql,1,uniform_heavy,uniform,heavy,base,1195421.7836311595,16115.574688725144,799.6357576692795,1724.113887275291,10656.402666934573
postgresql,1,uniform_heavy_mixed,uniform,heavy,mixed,20010000.0,2592.9603211970593,2320.1777171666668,9690.94,14797.03
postgresql,1,uniform_heavy_mixed_dup,uniform,heavy,mixed,20010000.0,892.8696359280141,1233.618728648271,1624.952128875596,5011.402377979661
postgresql,1,uniform_light,uniform,light,base,11001000.0,3028.3874036908032,990.2246702666666,1271.81,1522.9966666666667
postgresql,1,uniform_light_mixed,uniform,light,mixed,11001000.0,980.1273517198222,1113.2641004121374,1384.0545610932431,1852.8483818302918
postgresql,1,zipfian_heavy,zipfian,heavy,base,20010000.0,1806.537476539089,3231.6433149333334,12339.756666666668,21710.836666666666
postgresql,1,zipfian_heavy_mixed,zipfian,heavy,mixed,20010000.0,816.8508976098151,1358.7008326371974,2168.8310480714863,5615.665948952206
postgresql,1,zipfian_light,zipfian,light,base,11001000.0,3465.276133487431,1140.6956349333334,2150.213333333333,3278.19
postgresql,1,zipfian_light_mixed,zipfian,light,mixed,11001000.0,964.1045311164265,1125.5208248059328,1424.4629159028914,1869.3002218780898
postgresql,2,uniform_heavy,uniform,heavy,base,20010000.0,3098.6414384768923,960.6796999333333,1188.2,1356.4433333333334
postgresql,2,uniform_heavy_mixed,uniform,heavy,mixed,17810000.0,914.4097110340663,1194.1618567824025,1542.07120769564,4807.654665039907
postgresql,2,uniform_light,uniform,light,base,11001000.0,2786.288435430408,1054.7491835,1335.96,1632.2566666666664
postgresql,2,zipfian_heavy_mixed,zipfian,heavy,mixed,16610000.0,863.5252214336354,1282.7264301336206,2018.3464594619998,5121.375423666956
postgresql,3,uniform_heavy_mixed,uniform,heavy,mixed,20010000.0,891.4615951891033,1230.3472288579578,1622.9644558085051,5012.40220756573
postgresql,3,uniform_heavy_vacuum,uniform,heavy,vacuum,20010000.0,3012.8123008097623,1009.7069460333333,1269.5166666666667,1449.0366666666666
postgresql,3,zipfian_heavy,zipfian,heavy,base,20010000.0,1844.812465962532,3206.1175598333334,12121.936666666666,20301.14
postgresql,3,zipfian_heavy_mixed,zipfian,heavy,mixed,20010000.0,841.0213895308036,1319.2795501880173,2132.8074263052176,5677.608788314783
postgresql,4,uniform_heavy_mixed,uniform,heavy,mixed,20010000.0,874.4400129080173,1262.21573203978,1653.8012744939183,5097.5872786824475
postgresql,4,zipfian_heavy,zipfian,heavy,base,20010000.0,1925.5943850862757,3098.8802003,11723.173333333332,21060.413333333334
postgresql,4,zipfian_heavy_mixed,zipfian,heavy,mixed,20010000.0,795.7805701083926,1405.389453950525,2257.8988342928737,5790.280394161562
