database,run,scenario,requestdist_file,intensity,variant,Phase,Operation,rows,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
neo4j,1,uniform_heavy,uniform,heavy,base,extend,EXTEND,100,2500000.0,193.77333032658908,5198.4735692,6578.08,8922.12
neo4j,1,uniform_heavy,uniform,heavy,base,load,INSERT,1,2500.0,243.16700710047704,3865.5748,6335.0,8239.0
neo4j,1,uniform_heavy,uniform,heavy,base,run,READ,100,2500000.0,1763.735792176001,554.3682156,1076.65,2229.88
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,extend,EXTEND,100,2500000.0,189.91620653948445,5321.8556148,6659.84,8957.32
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,load,INSERT,1,2500.0,252.29589262286802,3760.9356,6143.0,7691.0
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,run,READ,100,1249433.0,385.78656404974976,720.5959839383145,1344.3006611799112,1992.2515116857007
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,run,UPDATE,100,1250567.0,385.8417209247439,4486.657177104467,5285.292854361262,5805.796497908549
neo4j,1,uniform_light_dup,uniform,light,dup,extend,EXTEND,100,500000.0,159.83187240433418,6182.685054,8809.88,12486.28
neo4j,1,uniform_light_dup,uniform,light,dup,load,INSERT,1,500.0,175.43859649122808,4686.546,6559.0,8567.0
neo4j,1,uniform_light_dup,uniform,light,dup,run,READ,100,2500000.0,1702.9234050905013,569.0126208,1184.31,2515.63
neo4j,1,uniform_light_mixed,uniform,light,mixed,extend,EXTEND,100,500000.0,157.76523781859714,6282.675714,8682.8,12030.0
neo4j,1,uniform_light_mixed,uniform,light,mixed,load,INSERT,1,500.0,148.41199168892845,5580.394,7583.0,11959.0
neo4j,1,uniform_light_mixed,uniform,light,mixed,run,READ,100,1251296.0,385.1157635030019,697.0689397232949,1332.866260261361,1948.9829217067745
neo4j,1,uniform_light_mixed,uniform,light,mixed,run,UPDATE,100,1248704.0,385.0810737082472,4514.924293507509,5328.712546768489,5864.045045102763
neo4j,1,zipfian_heavy,zipfian,heavy,base,extend,EXTEND,100,2500000.0,163.42954821359817,6202.7767816,16629.28,30270.12
neo4j,1,zipfian_heavy,zipfian,heavy,base,load,INSERT,1,2500.0,238.7774594078319,3937.4816,6499.0,8319.0
neo4j,1,zipfian_heavy,zipfian,heavy,base,run,READ,100,2500000.0,1811.1162076780704,531.924592,1139.63,2712.48
neo4j,1,zipfian_heavy_mixed,zipfian,heavy,mixed,extend,EXTEND,100,2500000.0,184.13294989424665,5480.4381428,7372.64,9333.0
neo4j,1,zipfian_heavy_mixed,zipfian,heavy,mixed,load,INSERT,1,2500.0,267.26534103057514,3535.6424,5255.0,6575.0
neo4j,1,zipfian_heavy_mixed,zipfian,heavy,mixed,run,READ,100,1249589.0,389.569284933925,708.9399946702475,1327.7607893475374,1973.2292313712749
neo4j,1,zipfian_heavy_mixed,zipfian,heavy,mixed,run,UPDATE,100,1250411.0,389.4982778242685,4453.246933208361,5258.358276598655,5796.920002303243
neo4j,1,zipfian_light,zipfian,light,base,extend,EXTEND,100,500000.0,150.57291976223487,6593.04554,10910.84,14332.24
neo4j,1,zipfian_light,zipfian,light,base,load,INSERT,1,500.0,143.348623853211,5824.392,8383.0,12335.0
neo4j,1,zipfian_light,zipfian,light,base,run,READ,100,2500000.0,1748.9540140255292,550.3996472,1224.44,2726.49
