database,run,scenario,requestdist_file,intensity,variant,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
postgresql,1,zipfian_heavy,zipfian,heavy,base,20010000.0,1806.537476539089,3231.6433149333334,12339.756666666668,21710.836666666666
postgresql,3,zipfian_heavy,zipfian,heavy,base,20010000.0,1844.812465962532,3206.1175598333334,12121.936666666666,20301.14
postgresql,4,zipfian_heavy,zipfian,heavy,base,20010000.0,1925.5943850862757,3098.8802003,11723.173333333332,21060.413333333334
postgresql,1,uniform_heavy_mixed,uniform,heavy,mixed,20010000.0,2592.9603211970593,2320.1777171666668,9690.94,14797.03
neo4j,1,zipfian_heavy,zipfian,heavy,base,5002500.0,737.7744050998335,3557.3943245333335,8089.303333333333,13767.199999999999
neo4j,1,zipfian_light,zipfian,light,base,3000500.0,680.9585192136584,4322.612395733334,6839.426666666666,9797.91
neo4j,1,uniform_light_mixed,uniform,light,mixed,3000500.0,269.09351667969366,4268.765736807701,5731.844701757463,7950.506991702385
neo4j,1,uniform_light_dup,uniform,light,dup,3000500.0,679.3979579953545,3812.7478916,5517.73,7856.303333333333
neo4j,1,zipfian_light_mixed,zipfian,light,mixed,3000500.0,275.12906550401254,4039.5099836267063,5489.055599589336,7171.944687946642
neo4j,1,uniform_heavy_mixed,uniform,heavy,mixed,5002500.0,303.4600960342115,3572.5110939606952,4858.108378885293,6111.592002398562
