database,run,scenario,requestdist_file,intensity,variant,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
postgresql,1,uniform_heavy,uniform,heavy,base,1195421.7836311595,16115.574688725144,799.6357576692795,1724.113887275291,10656.402666934573
postgresql,1,zipfian_light,zipfian,light,base,11001000.0,3465.276133487431,1140.6956349333334,2150.213333333333,3278.19
postgresql,2,uniform_heavy,uniform,heavy,base,20010000.0,3098.6414384768923,960.6796999333333,1188.2,1356.4433333333334
postgresql,1,uniform_light,uniform,light,base,11001000.0,3028.3874036908032,990.2246702666666,1271.81,1522.9966666666667
postgresql,3,uniform_heavy_vacuum,uniform,heavy,vacuum,20010000.0,3012.8123008097623,1009.7069460333333,1269.5166666666667,1449.0366666666666
postgresql,2,uniform_light,uniform,light,base,11001000.0,2786.288435430408,1054.7491835,1335.96,1632.2566666666664
postgresql,1,uniform_heavy_mixed,uniform,heavy,mixed,20010000.0,2592.9603211970593,2320.1777171666668,9690.94,14797.03
postgresql,4,zipfian_heavy,zipfian,heavy,base,20010000.0,1925.5943850862757,3098.8802003,11723.173333333332,21060.413333333334
postgresql,3,zipfian_heavy,zipfian,heavy,base,20010000.0,1844.812465962532,3206.1175598333334,12121.936666666666,20301.14
postgresql,1,zipfian_heavy,zipfian,heavy,base,20010000.0,1806.537476539089,3231.6433149333334,12339.756666666668,21710.836666666666
